Tip ID,Frame,Y,X
0,0,0,121
1,0,0,8820
2,0,0,8862
3,0,17,8725
4,0,18,8730
5,0,88,225
6,0,92,7719
7,0,93,231
8,0,121,7075
9,0,135,302
10,0,141,345
10,4,140,354
10,14,141,351
10,18,141,352
11,0,167,355
11,1,171,350
12,0,184,386
13,0,197,407
13,2,196,420
14,0,202,410
14,2,196,420
15,0,215,387
16,0,229,383
17,0,256,446
17,2,250,436
17,3,238,432
17,4,227,428
17,5,228,428
17,6,227,428
17,7,227,429
17,9,232,430
17,10,233,430
17,11,233,432
17,14,228,429
17,15,229,428
18,0,351,504
18,14,341,498
18,15,341,498
18,17,351,490
19,0,413,554
20,0,426,9487
21,0,438,654
21,3,436,663
22,0,452,9823
23,0,522,9000
24,0,523,9004
25,0,530,9799
26,0,601,9763
27,0,647,8729
28,0,689,9784
29,0,720,6137
30,0,725,6220
31,0,728,6228
32,0,728,9778
33,0,746,1049
34,0,761,8745
35,0,790,6318
36,0,795,6323
37,0,799,9771
38,0,809,1001
39,0,818,1006
40,0,826,9771
41,0,831,1019
42,0,833,955
43,0,844,9770
44,0,848,9817
45,0,852,9784
46,0,857,994
47,0,857,9771
48,0,857,9799
49,0,862,9772
50,0,868,7375
51,0,876,988
52,0,880,993
53,0,889,1021
53,8,884,1028
54,0,894,1002
55,0,899,1013
56,0,902,7415
57,0,907,9795
58,0,921,7436
59,0,926,7651
60,0,930,6012
61,0,953,4960
62,0,998,6283
63,0,1012,1477
63,2,1006,1488
63,3,996,1488
63,4,999,1483
63,5,1001,1481
63,6,1000,1481
64,0,1016,1480
64,2,1006,1488
64,3,996,1488
64,4,999,1483
64,5,1001,1481
64,6,1000,1481
65,0,1042,6209
66,0,1047,1453
66,1,1052,1443
66,2,1051,1441
66,4,1052,1455
66,5,1052,1446
66,6,1050,1445
67,0,1048,4948
68,0,1050,9780
69,0,1074,1940
70,0,1107,4919
71,0,1133,9767
72,0,1149,4755
73,0,1162,3573
74,0,1166,3579
75,0,1184,8866
76,0,1220,8837
77,0,1224,2215
78,0,1231,3340
79,0,1240,8816
80,0,1276,8793
81,0,1288,7505
82,0,1300,7486
83,0,1302,7491
84,0,1313,7481
85,0,1379,1230
86,0,1409,1247
87,0,1432,6339
88,0,1700,6217
89,0,1700,6253
90,0,1780,4739
91,0,1793,4927
92,0,1808,4792
93,0,1861,8906
94,0,1869,9143
95,0,1893,3568
96,0,1904,3407
97,0,1974,7528
98,0,2015,2120
99,0,2029,8836
100,0,2085,9176
101,0,2106,9163
102,0,2160,9103
103,0,2163,6107
104,0,2166,6429
105,0,2185,6104
106,0,2193,7779
107,0,2194,7787
108,0,2198,6103
109,0,2202,7506
110,0,2203,6103
111,0,2218,7521
112,0,2220,7524
113,0,2223,7810
114,0,2227,7805
115,0,2233,7528
116,0,2244,9786
117,0,2290,6407
118,0,2302,6131
119,0,2321,6154
120,0,2363,6335
121,0,2416,1567
122,0,2487,9124
123,0,2490,9132
124,0,2523,1587
125,0,2541,1585
126,0,2560,8928
127,0,2573,1594
128,0,2578,7704
129,0,2584,9829
130,0,2678,7866
131,0,2714,6390
132,0,2728,6207
133,0,2739,9854
134,0,2760,6179
135,0,2764,9837
136,0,2775,9203
137,0,2791,9188
138,0,2793,2690
139,0,2805,4980
140,0,2824,2661
141,0,2828,2667
142,0,2831,2682
143,0,2832,2675
144,0,2833,2704
145,0,2838,6155
146,0,2840,2675
147,0,2858,4824
148,0,2863,2690
149,0,2864,2696
150,0,2879,2670
151,0,2881,2658
152,0,2895,2684
153,0,2895,7810
154,0,2898,2668
155,0,2898,2677
156,0,2908,3603
157,0,2923,7633
158,0,2938,3485
159,0,2939,7678
160,0,2965,1680
161,0,2975,1693
162,0,2984,1683
163,0,3081,5054
164,0,3226,3598
165,0,3351,7585
166,0,3368,7572
167,0,3512,1745
168,0,3533,6197
169,0,3534,7612
170,0,3539,6198
171,0,3544,1749
172,0,3552,1778
173,0,3586,1950
174,0,3628,2180
175,0,3632,1977
176,0,3636,1764
177,0,3642,1782
178,0,3660,2273
179,0,3662,2149
180,0,3662,2262
181,0,3665,2058
182,0,3670,2154
183,0,3681,1793
184,0,3684,1946
185,0,3687,2134
186,0,3708,2098
187,0,3718,2126
188,0,3723,1772
189,0,3729,2109
