y,x
0,472
0,571
0,590
0,617
0,638
0,696
0,727
0,736
0,878
0,1512
1,1459
1,1496
5,1491
18,1532
21,591
21,1526
25,1439
25,1544
30,577
33,764
41,1359
43,677
43,1458
43,1467
45,1529
61,948
77,1626
79,543
95,136
95,763
107,8
107,79
110,0
110,131
112,1336
117,0
127,170
127,507
134,587
135,1627
136,39
137,191
141,521
141,1627
143,200
151,98
151,1321
153,486
162,1624
164,1405
168,316
170,165
172,219
172,479
174,475
180,1626
181,435
183,430
184,447
187,1374
192,1539
192,1578
193,1595
194,295
196,223
198,1626
203,1517
205,1512
211,500
228,428
233,1425
236,561
241,1319
242,561
244,581
248,611
251,1023
256,1337
270,912
271,1239
282,233
292,138
295,1210
296,120
298,1170
299,170
306,110
306,842
311,564
315,488
317,110
321,122
324,109
326,268
330,1081
331,288
338,309
340,377
351,918
353,939
357,442
358,1568
361,451
363,420
365,895
366,115
366,1025
372,1117
374,501
375,1507
377,340
379,504
381,352
381,413
382,1460
385,1611
387,1459
394,479
394,1026
395,581
396,59
400,580
401,880
401,1042
405,994
409,1415
412,891
413,265
421,351
422,364
423,789
434,1485
437,213
443,315
445,185
450,295
451,265
451,511
452,494
453,437
454,411
455,245
456,449
462,297
467,294
467,301
468,314
469,273
471,522
473,342
473,426
473,505
477,165
480,402
481,212
481,859
482,1368
483,226
484,410
488,209
488,237
488,552
490,1221
493,200
499,424
501,177
502,201
502,486
503,430
504,195
505,453
508,449
510,930
512,780
515,1
516,896
519,706
526,188
528,165
528,524
531,465
532,185
533,450
534,173
535,459
536,478
537,1203
539,464
542,823
543,582
544,471
546,175
546,464
546,481
550,457
550,494
554,603
557,157
564,625
565,146
566,155
568,528
569,516
570,1353
572,154
574,557
577,497
579,933
582,470
582,1287
589,703
590,493
591,130
593,149
594,692
599,575
601,491
604,498
605,692
607,1242
612,111
614,1270
616,1126
617,508
620,752
620,794
623,52
624,147
629,753
631,725
633,116
635,123
637,661
638,126
646,719
648,709
649,1255
652,148
656,121
661,122
665,617
672,701
679,160
693,613
697,605
705,488
707,498
711,473
712,501
740,489
749,1164
750,471
766,492
775,206
777,465
778,1090
780,517
782,431
783,216
785,456
789,491
795,212
797,92
798,242
801,411
802,434
803,485
806,397
808,88
814,1442
815,462
818,292
819,297
820,241
822,346
822,426
823,334
824,313
826,58
827,361
830,328
831,289
834,250
834,338
834,387
835,355
835,427
838,1199
839,171
840,410
852,342
853,353
864,1182
872,1187
882,1444
892,1625
894,384
901,1245
902,423
903,1250
910,1080
927,1127
930,1498
932,815
936,1627
937,1083
940,897
943,1031
944,1573
951,865
954,1174
955,948
960,1485
960,1490
961,1627
963,1501
968,1498
982,993
984,1380
984,1387
988,1565
990,1318
992,842
993,1501
995,1490
996,1363
999,1421
1001,1481
1002,845
1002,852
1002,1280
1003,1545
1004,873
1005,1396
1008,1222
1013,191
1016,1262
1017,1266
1020,1627
1022,1446
1027,841
1027,1028
1030,877
1033,872
1035,1627
1036,1249
1038,1263
1039,928
1040,1030
1047,1416
1051,0
1052,1446
1053,290
1054,655
1060,700
1061,795
1061,866
1066,1209
1069,697
1069,812
1071,1203
1073,1034
1077,1557
1079,281
1079,805
1081,564
1081,606
1081,622
1081,1552
1082,886
1085,772
1093,408
1096,625
1096,1549
1098,494
1099,557
1099,1075
1105,1338
1107,352
1108,379
1110,1132
1111,1207
1111,1447
1112,345
1114,316
1116,506
1119,1267
1123,1216
1123,1232
1124,355
1126,474
1127,322
1127,330
1130,833
1131,1281
1132,324
1134,360
1135,482
1136,1110
1138,306
1141,1514
1143,0
1146,742
1146,1294
1146,1499
1149,1527
1150,982
1150,1366
1152,1
1152,741
1152,958
1156,249
1157,1222
1158,551
1159,0
1161,1096
1161,1298
1162,1220
1164,854
1166,499
1168,1248
1179,501
1179,1075
1180,543
1181,1290
1183,1097
1184,239
1186,0
1190,1512
1193,660
1193,1256
1200,1507
1207,523
1210,782
1215,1218
1215,1554
1217,969
1219,1488
1227,684
1239,1458
1241,746
1242,540
1243,759
1246,1336
1248,541
1249,1483
1251,78
1251,980
1255,748
1257,1002
1257,1578
1263,1316
1264,0
1264,1158
1270,1046
1272,567
1273,809
1277,557
1279,564
1284,569
1284,1108
1292,576
1293,717
1294,545
1297,565
1303,573
1305,882
1305,1604
1309,573
1309,1460
1310,136
1310,588
1310,916
1317,758
1324,619
1325,209
1325,916
1325,1460
1326,158
1326,555
1326,565
1326,571
1326,583
1326,586
1326,800
1326,991
1326,1001
1326,1008
1326,1368
1326,1480
1326,1492
