y,x
0,121
0,8820
0,8862
17,8725
18,8730
88,225
92,7719
93,231
121,7075
135,302
141,345
167,355
184,386
197,407
202,410
215,387
229,383
256,446
351,504
413,554
426,9487
438,654
452,9823
522,9000
523,9004
530,9799
601,9763
647,8729
689,9784
720,6137
725,6220
728,6228
728,9778
746,1049
761,8745
790,6318
795,6323
799,9771
809,1001
818,1006
826,9771
831,1019
833,955
844,9770
848,9817
852,9784
857,994
857,9771
857,9799
862,9772
868,7375
876,988
880,993
889,1021
894,1002
899,1013
902,7415
907,9795
921,7436
926,7651
930,6012
953,4960
998,6283
1012,1477
1016,1480
1042,6209
1047,1453
1048,4948
1050,9780
1074,1940
1107,4919
1133,9767
1149,4755
1162,3573
1166,3579
1184,8866
1220,8837
1224,2215
1231,3340
1240,8816
1276,8793
1288,7505
1300,7486
1302,7491
1313,7481
1379,1230
1409,1247
1432,6339
1700,6217
1700,6253
1780,4739
1793,4927
1808,4792
1861,8906
1869,9143
1893,3568
1904,3407
1974,7528
2015,2120
2029,8836
2085,9176
2106,9163
2160,9103
2163,6107
2166,6429
2185,6104
2193,7779
2194,7787
2198,6103
2202,7506
2203,6103
2218,7521
2220,7524
2223,7810
2227,7805
2233,7528
2244,9786
2290,6407
2302,6131
2321,6154
2363,6335
2416,1567
2487,9124
2490,9132
2523,1587
2541,1585
2560,8928
2573,1594
2578,7704
2584,9829
2678,7866
2714,6390
2728,6207
2739,9854
2760,6179
2764,9837
2775,9203
2791,9188
2793,2690
2805,4980
2824,2661
2828,2667
2831,2682
2832,2675
2833,2704
2838,6155
2840,2675
2858,4824
2863,2690
2864,2696
2879,2670
2881,2658
2895,2684
2895,7810
2898,2668
2898,2677
2908,3603
2923,7633
2938,3485
2939,7678
2965,1680
2975,1693
2984,1683
3081,5054
3226,3598
3351,7585
3368,7572
3512,1745
3533,6197
3534,7612
3539,6198
3544,1749
3552,1778
3586,1950
3628,2180
3632,1977
3636,1764
3642,1782
3660,2273
3662,2149
3662,2262
3665,2058
3670,2154
3681,1793
3684,1946
3687,2134
3708,2098
3718,2126
3723,1772
3729,2109
3736,1924
3748,2097
3761,2092
3763,2044
3767,1775
3773,2077
3780,2084
3788,2467
3793,2081
3798,2080
3804,9225
3821,1783
3821,2070
3821,9260
3851,1795
3854,1785
3857,1803
3883,1835
3888,1827
3901,1994
3904,1809
3917,7873
3950,7672
3974,2019
4007,2233
4076,6269
4102,9300
4116,1828
4116,1836
4122,9277
4124,6244
4134,3381
4137,3512
4137,9254
4139,3514
4169,2384
4178,2190
4183,2382
4191,2384
4211,3706
4215,7687
4217,7667
4229,7708
4232,7893
4235,1838
4235,2199
4236,2448
4248,7740
4252,1838
4260,1850
4264,1839
4276,2734
4292,6566
4296,1844
4297,1859
4297,1874
4298,2260
4300,2332
4302,2371
4304,2747
4305,1872
4311,2133
4312,2322
4319,5225
4330,2341
4332,3086
4333,2554
4334,2061
4336,2080
4339,2208
4343,2171
4350,2674
4352,2190
4360,2807
4387,2014
4398,2681
4404,2682
4405,2508
4409,2461
4410,2854
4411,2508
4421,2665
4425,2539
4444,2636
4446,5133
4447,3027
4480,2055
4482,2525
4489,2524
4489,3180
4491,2778
4491,3822
4498,2961
4500,2582
4501,2915
4513,3804
4519,1878
4522,3793
4531,2804
4535,2685
4536,2595
4539,1863
4539,2733
4542,9051
4544,1876
4545,3593
4557,7859
4560,2979
4568,2577
4569,3144
4581,2648
4586,2039
4586,2458
4586,2646
4587,2468
4589,7722
4593,2102
4594,7717
4599,2684
4600,2108
4604,3227
4607,2153
4608,2159
4618,2182
4623,2550
4624,3459
4625,2059
4627,2143
4628,2411
4633,2179
4633,2618
4634,2187
4635,2204
4637,2420
4640,7705
4643,2396
4647,2388
4648,2379
4649,2230
4653,2186
4653,2346
4654,2191
4654,2616
4655,3540
4656,2172
4660,6455
4662,3508
4670,2346
4671,2339
4672,2200
4673,2167
4673,2517
4676,2172
4677,2166
4677,2378
4679,1918
4682,2493
4686,2213
4688,2487
4692,1907
4693,2338
4694,3463
4695,2334
4700,3318
4701,3314
4705,2539
4707,1943
4707,2399
4708,2265
4709,2114
4711,2097
4711,3616
4717,2528
4722,2183
4725,2457
4738,2457
4741,2613
4743,1954
4744,1926
4744,2634
4754,9075
4758,3271
4760,7653
4760,9081
4765,8015
4770,2355
4780,3248
4782,3221
4797,2168
4797,2510
4801,2147
4805,2142
4809,2430
4809,2598
4814,2888
4817,2467
4829,2290
4831,2133
4831,2506
4836,2520
4837,2047
4838,2475
4843,2336
4846,2149
4846,2481
4848,3587
4851,2150
4852,2463
4852,2989
4861,2487
4867,2475
4868,2676
4868,3372
4869,6279
4872,3685
4874,2942
4875,2970
4877,2531
4878,2370
4880,2619
4880,2929
4882,2383
4883,3262
4895,2508
4895,2950
4895,3397
4907,2406
4907,5270
4908,7801
4911,3080
4915,2289
4915,2511
4917,2127
4917,2295
4922,2315
4923,2669
4923,2833
4924,2989
4929,2395
4929,2484
4930,2510
4931,2399
4933,2382
4938,3220
4939,2259
4940,2253
4940,2285
4941,2495
4941,3010
4942,2320
4945,2274
4946,2336
4947,2344
4949,2476
4950,2489
4950,2522
4953,3062
4956,2268
4956,2326
4957,2329
4957,2466
4957,2542
4960,2478
4961,2342
4964,2362
4964,2542
4966,2268
4966,2426
4966,2526
4967,2390
4968,2397
4969,2917
4971,2411
4973,2315
4973,2342
4973,2555
4973,2913
4974,2704
4975,2408
4976,2372
4976,2538
4978,2402
4979,2922
4982,2543
4983,2278
4985,3261
4986,2519
4987,2248
4987,2254
4989,6573
4992,2433
4992,3190
4992,6569
4994,2264
4996,2228
4996,2235
4996,2586
5002,2232
5003,2594
5004,2204
5005,2514
5005,3334
5006,3135
5009,2222
5009,2457
5009,2491
5009,3321
5011,2497
5015,1975
5015,2226
5019,2985
5020,2989
5020,3248
5020,6528
5024,2516
5025,2466
5026,2123
5027,2520
5028,3005
5030,2741
5030,2982
5031,2481
5031,2815
5034,2483
5034,2535
5036,2477
5037,2203
5041,2856
5042,2209
5042,2501
5042,2512
5043,2553
5044,2593
5045,2203
5048,2512
5050,2593
5054,2599
5054,2661
5055,2502
5056,3194
5060,2172
5060,2552
5061,2185
5061,2196
5061,2611
5063,2669
5066,2194
5066,3169
5067,2530
5069,2842
5072,3143
5074,2587
5075,2507
5078,1676
5079,2585
5081,2153
5082,2179
5083,2537
5084,2157
5084,2734
5085,2163
5086,2144
5086,2525
5088,2722
5088,2853
5093,3101
5095,2164
5096,3279
5097,2610
5098,3011
5099,2142
5100,2539
5102,2152
5103,2746
5106,2610
5107,9286
5109,2849
5110,2172
5110,2518
5111,3310
5114,2158
5115,2856
5119,1675
5119,2521
5119,5057
5120,2553
5121,5052
5124,2140
5126,2079
5127,2523
5127,3090
5130,2128
5133,2792
5135,2529
5135,2854
5136,2763
5140,2134
5143,2885
5144,2132
5148,2756
5153,2163
5153,2173
5157,1684
5159,2173
5163,2589
5166,2143
5169,2588
5172,2554
5172,3434
5177,2740
5180,2173
5180,2765
5181,9403
5183,2555
5187,2647
5192,2610
5193,2171
5195,2647
5200,2516
5201,2640
5208,2517
5208,3251
5212,2599
5221,2500
5223,2139
5224,2527
5232,2198
5234,2515
5240,2189
5242,2180
5242,3229
5246,9103
5248,2556
5258,2193
5259,1681
5260,2571
5262,2197
5262,2522
5265,2192
5266,2518
5266,9099
5268,2204
5269,2559
5270,2564
5271,1676
5272,2522
5274,2502
5276,2520
5279,2514
5281,2214
5281,2227
5282,2552
5283,2519
5286,2236
5289,3648
5292,2455
5293,2462
5294,2229
5297,2117
5297,7736
5299,10016
5302,2116
5306,2519
5307,2417
5310,2465
5311,2274
5311,2441
5312,2514
5313,2195
5313,2424
5314,2111
5315,2267
5315,2455
5315,2497
5316,2295
5318,2408
5319,2452
5321,2416
5322,2505
5322,3538
5323,2389
5323,2407
5323,2428
5325,2293
5327,3770
5328,2082
5329,2420
5330,2194
5330,2362
5330,2391
5332,2343
5335,2282
5335,2389
5336,2170
5336,2347
5338,2463
5339,2367
5340,2273
5341,2392
5341,2416
5341,3237
5344,2388
5344,2467
5350,2384
5351,2456
5352,2469
5354,2513
5355,2390
5355,2401
5359,2378
5359,7724
5360,2514
5363,2433
5366,3227
5374,2269
5377,2968
5379,2241
5385,2107
5390,2107
5393,2508
5398,7716
5401,2216
5402,2205
5402,3067
5403,2416
5404,1775
5404,1898
5405,1744
5405,1939
5406,2438
5410,1636
5419,3180
5420,1944
5422,1779
5423,1652
5426,1913
5430,1773
5436,1638
5437,1631
5437,2934
5442,3830
5444,1629
5444,3132
5444,3744
5446,5236
5448,1646
5448,3090
5448,3100
5449,9358
5450,3344
5451,3227
5451,3821
5453,2975
5455,9136
5457,9352
5458,3148
5460,1618
5461,3008
5461,6341
5467,3134
5473,6694
5473,9830
5475,3058
5476,1719
5483,1978
5486,3145
5490,9354
5494,1893
5495,3255
5495,3624
5495,3762
5495,9294
5501,2886
5501,2913
5501,3418
5504,3746
