y,x
0,104
0,437
0,454
0,630
0,691
0,717
0,727
0,889
0,1321
0,1332
0,1490
1,582
1,1456
1,1511
2,95
14,1312
14,1439
25,440
32,754
33,438
39,672
41,1479
43,433
45,521
49,439
49,1592
50,1316
50,1561
51,1135
52,1604
55,926
55,1316
58,1358
67,627
72,1626
75,1095
81,431
90,440
99,1357
114,133
114,495
122,421
124,498
135,1
135,384
147,317
149,311
149,1167
151,106
161,1022
168,197
172,1626
177,1337
178,442
182,1627
189,1535
190,1529
193,1364
195,1478
204,1105
208,306
209,1472
210,432
210,1468
211,500
215,1439
217,183
232,1401
233,224
233,430
237,1428
240,1324
245,432
247,585
253,617
262,581
266,1112
304,174
312,171
313,568
316,488
318,1176
321,844
328,277
330,490
337,448
339,325
339,376
340,122
340,485
347,434
349,450
355,1561
362,447
364,1527
364,1627
366,1011
377,359
378,413
379,354
379,906
381,342
390,479
400,328
400,505
401,1242
402,67
403,324
407,354
410,984
416,337
416,773
419,874
422,107
423,364
424,351
424,1356
435,182
449,277
449,490
449,1278
450,192
450,436
452,265
453,301
456,411
457,257
458,333
458,450
462,241
471,519
473,502
474,333
475,262
476,418
477,402
480,407
481,509
482,214
482,230
484,487
488,552
489,211
489,441
490,194
494,418
495,201
499,451
502,483
504,201
504,840
505,180
505,197
506,452
507,420
517,0
521,911
526,188
526,458
526,729
532,464
532,699
534,476
538,180
539,465
545,471
547,463
551,170
555,158
556,475
557,1343
558,536
559,569
562,166
562,482
564,156
568,527
572,154
574,1276
576,549
577,600
577,906
578,486
582,469
591,130
593,559
594,494
599,567
604,1241
608,1266
610,108
616,784
619,56
620,147
622,504
623,517
624,744
627,114
631,713
634,127
639,126
647,670
647,1246
650,148
653,636
657,119
659,123
663,492
665,502
670,695
675,676
677,160
683,533
683,623
691,704
694,607
697,600
703,497
709,500
713,490
716,472
722,487
767,474
767,484
780,1089
783,495
788,99
790,492
793,97
797,232
801,483
802,1377
805,1104
813,376
815,386
817,241
819,449
822,63
823,127
823,321
828,289
828,345
830,248
830,398
841,341
844,1627
849,340
849,1445
850,351
851,335
853,1190
855,1226
863,297
871,86
885,465
904,85
904,408
908,1090
911,1625
921,1065
927,1085
938,1397
940,917
943,1441
945,1490
947,994
947,1165
947,1474
948,892
956,1106
959,1371
960,1110
964,975
967,1552
969,1403
969,1429
970,930
970,1008
970,1542
971,846
971,852
977,1223
981,706
981,1274
984,1627
990,828
993,1627
1005,1442
1010,865
1011,194
1017,823
1017,1247
1026,958
1027,1458
1028,869
1028,873
1030,1238
1035,1624
1038,1026
1042,650
1046,0
1053,1193
1057,1308
1059,217
1059,661
1059,1601
1065,861
1065,1128
1065,1205
1065,1257
1067,791
1068,803
1071,911
1072,514
1073,870
1076,73
1076,1225
1077,1553
1081,563
1081,604
1081,620
1083,765
1085,291
1085,899
1085,1209
1087,1281
1093,403
1094,619
1095,427
1098,314
1098,1357
1103,1518
1106,339
1106,348
1106,1079
1109,667
1109,672
1111,511
1112,343
1113,1215
1114,312
1116,1231
1117,1088
1117,1191
1119,356
1120,818
1121,476
1123,824
1124,335
1124,479
1125,1280
1127,429
1128,321
1130,427
1130,435
1131,316
1138,0
1140,1095
1141,1156
1142,460
1143,51
1151,723
1153,0
1157,248
1164,525
1171,542
1172,1324
1173,552
1190,1553
1192,773
1200,972
1207,1307
1217,861
1217,1508
1220,680
1227,1104
1231,543
1231,1570
1237,691
1241,808
1242,180
1246,640
1247,543
1249,591
1251,1459
1254,546
1259,0
1261,1464
1269,546
1269,560
1269,896
1275,579
1276,1585
1290,569
1296,564
1296,762
1297,575
1303,137
1308,575
1312,818
1325,166
1326,570
1326,881
1326,987
1326,1341
1326,1572
