y,x
0,572
0,631
0,637
0,707
0,732
8,734
23,866
30,866
36,684
50,1542
53,1566
63,474
65,641
69,1528
73,1627
79,489
103,1534
110,522
122,429
128,514
139,1137
141,1626
146,1627
148,427
150,0
162,95
166,1062
171,1566
173,1626
178,1041
178,1386
182,456
187,1627
191,1169
197,1331
205,1497
207,1363
208,284
212,499
212,1474
213,224
226,1438
237,1112
240,183
246,434
262,601
268,632
271,1388
277,598
297,574
303,1244
305,428
318,488
328,585
330,702
334,1191
337,301
339,343
341,929
348,1554
351,490
351,1627
361,450
363,130
373,500
382,365
383,360
401,1390
402,67
407,854
408,485
415,75
416,1475
417,347
420,459
423,374
423,509
424,361
425,349
426,779
435,925
451,436
453,208
453,309
453,495
457,484
457,1266
459,417
460,338
463,347
465,255
476,520
477,373
477,502
478,422
479,407
482,488
485,509
488,490
497,422
498,551
500,518
501,204
501,474
502,463
504,213
504,468
507,461
508,524
509,489
510,454
512,485
519,488
522,521
523,463
524,492
526,119
533,457
534,466
534,524
535,1280
536,452
536,477
538,1328
539,461
542,481
558,476
559,166
561,1267
562,534
564,590
567,527
570,561
582,1279
587,550
593,556
597,106
601,553
603,120
608,105
613,106
620,516
622,128
623,58
626,518
634,495
644,493
684,532
687,596
708,485
709,498
719,471
724,489
737,486
740,1159
741,483
766,482
772,479
776,483
777,439
780,104
788,448
792,1096
795,1401
814,1627
815,384
817,72
819,441
821,131
823,93
826,241
827,345
829,396
837,183
840,333
841,375
841,1223
844,365
848,1202
849,333
854,1430
863,297
879,1276
889,380
889,1089
895,1625
897,1060
899,403
901,1080
906,1378
908,1401
916,1381
918,171
923,1005
923,1407
925,1152
931,1280
936,1280
938,898
944,972
945,1409
945,1487
948,1009
949,930
952,1474
953,1111
953,1434
953,1551
956,854
956,1627
958,1532
959,188
959,1439
962,936
965,189
965,1105
965,1495
977,1129
977,1627
994,1378
999,1575
1000,870
1002,827
1002,848
1006,1539
1007,1205
1007,1215
1008,196
1008,855
1009,1017
1010,1079
1011,1196
1023,1245
1028,0
1035,782
1036,1124
1036,1522
1038,1200
1039,1302
1042,1217
1044,922
1045,906
1048,1031
1050,1203
1051,861
1054,1627
1055,869
1055,1202
1058,1565
1059,899
1059,947
1060,762
1061,385
1063,952
1065,630
1069,248
1070,561
1072,1320
1075,1184
1076,1222
1079,606
1082,403
1083,1517
1084,778
1085,785
1085,1459
1086,1463
1091,492
1091,1269
1095,812
1096,822
1097,370
1100,349
1101,341
1104,1580
1106,1518
1109,35
1109,424
1110,431
1112,436
1112,541
1113,358
1116,470
1117,505
1119,329
1119,426
1121,430
1121,482
1127,338
1127,717
1127,1059
1130,325
1131,1559
1135,315
1145,232
1145,238
1150,237
1151,255
1152,1
1157,1315
1158,264
1161,772
1168,909
1169,903
1170,1559
1172,1294
1176,1570
1177,544
1178,799
1182,864
1185,1099
1192,755
1194,1511
1196,684
1207,1456
1208,745
1216,1568
1219,559
1231,1439
1232,896
1233,549
1236,115
1241,598
1242,745
1250,542
1250,569
1252,1485
1256,770
1258,1
1260,788
1264,1581
1266,559
1266,569
1279,900
1284,575
1292,577
1299,147
1301,549
1324,984
1325,563
1326,178
1326,1308
1326,1598
