y,x
0,442
0,572
0,632
0,636
0,709
0,737
1,106
7,1447
8,441
9,1452
12,732
22,868
27,867
33,438
36,686
36,1443
36,1493
43,433
52,1565
54,1545
65,474
65,643
66,1322
67,1491
73,1627
77,487
103,1540
105,1603
110,522
112,1356
123,429
128,515
137,383
141,352
141,361
141,1626
145,356
146,1627
153,0
156,1618
165,94
173,1626
178,460
187,1627
189,1557
189,1562
201,1381
207,1489
209,1469
210,281
212,499
236,1431
244,217
246,1090
246,1302
261,1398
263,602
269,632
278,599
297,574
304,428
311,857
314,1232
320,483
323,489
329,586
338,302
339,345
346,1553
351,1626
362,450
364,1467
369,500
373,366
373,1569
376,1461
381,504
382,366
382,906
389,410
393,904
399,875
400,1384
402,67
406,857
407,365
414,497
416,350
417,508
417,1475
421,458
424,363
424,509
430,125
434,197
436,924
446,83
449,315
450,209
453,310
453,436
453,495
457,484
459,1336
460,418
460,513
465,256
469,275
470,328
479,423
480,273
483,230
483,488
487,227
487,510
492,434
493,193
494,218
494,446
497,548
498,423
500,219
501,474
508,461
509,526
510,455
511,484
524,0
526,70
526,124
531,1321
534,450
536,460
543,464
546,472
549,164
553,481
557,153
559,162
559,1268
563,536
566,154
568,527
572,560
583,136
583,469
589,514
589,548
592,585
603,120
604,505
605,479
607,557
621,516
622,60
622,502
627,519
628,130
633,495
644,493
683,514
707,497
719,471
766,482
768,472
772,478
775,482
779,105
783,1096
788,494
791,1402
794,418
796,1112
805,398
805,1627
806,422
808,259
811,249
816,132
816,385
817,444
821,309
825,241
829,321
829,396
830,177
830,383
835,373
836,183
837,1218
841,375
843,1203
845,364
846,355
848,339
848,346
849,1431
862,85
871,1627
887,1089
889,380
892,421
900,1081
905,1400
915,1380
917,170
922,1004
923,1153
936,899
936,1474
936,1627
940,1407
942,929
942,1627
943,1459
945,967
947,1536
951,1525
953,1115
954,1517
958,1480
959,1627
960,936
960,1484
962,855
964,1105
964,1481
973,726
976,832
982,1122
987,1359
989,1289
994,1555
997,868
1003,830
1004,826
1004,1213
1007,197
1007,1016
1007,1078
1008,838
1008,1194
1009,1433
1010,1437
1015,867
1029,0
1029,1246
1034,849
1034,1123
1035,1198
1037,783
1037,788
1037,1298
1039,852
1041,1217
1042,530
1042,1623
1043,905
1045,800
1047,1556
1049,913
1049,931
1053,1200
1054,870
1057,898
1058,761
1059,630
1061,386
1063,1346
1065,564
1066,959
1073,1183
1073,1594
1075,1220
1078,1181
1082,1516
1092,811
1094,820
1099,350
1101,1516
1102,1087
1104,383
1108,36
1110,846
1111,541
1111,946
1112,411
1112,415
1116,506
1119,482
1121,354
1124,717
1125,341
1125,1058
1127,474
1128,461
1130,331
1131,327
1140,484
1144,1230
1149,260
1150,238
1153,0
1153,283
1159,1557
1160,770
1168,514
1174,544
1178,758
1184,551
1184,1099
1190,1512
1205,1568
1210,169
1210,708
1210,1453
1225,127
1228,900
1229,562
1235,552
1239,599
1242,745
1244,542
1244,1574
1251,775
1251,1483
1258,558
1260,563
1261,1
1266,569
1273,561
1281,562
1291,552
1300,149
1300,549
1308,804
1324,562
1324,984
1326,176
1326,1310
1326,1601
