y,x
0,1798
0,1877
0,1948
0,2144
0,2342
0,2696
1,1883
45,3105
56,1206
60,3056
60,3102
61,1987
66,2981
72,1893
99,1141
115,1278
144,1244
161,1106
166,2974
171,2982
173,2993
173,3031
176,2857
199,2922
201,986
201,1766
210,2551
216,2884
224,2555
226,1092
228,2501
232,1074
239,956
248,1042
249,1452
258,1660
269,2368
271,2438
278,2447
278,2500
285,2894
286,2480
289,2513
295,2522
314,2925
323,2484
324,2868
324,2925
325,2861
336,2498
339,2583
339,2741
342,2565
352,3104
354,2839
368,993
369,1567
371,933
373,2547
373,3046
374,2722
375,3038
378,935
382,1037
383,2540
384,1044
386,2568
389,1026
390,2657
392,2541
392,3020
394,1673
404,1420
405,1554
423,3104
429,3020
430,3016
434,3074
436,3066
446,1764
450,2872
453,2934
454,803
459,2575
459,2846
478,2943
482,2682
484,1543
486,2775
496,1556
497,1419
499,1549
502,2575
509,2740
521,2762
523,2758
533,716
534,2626
542,721
545,1288
553,1454
557,2642
558,1451
560,1340
562,767
563,678
574,1445
576,1152
591,2554
592,784
598,1570
601,1393
605,2510
609,1178
610,680
630,1350
635,1190
645,1146
655,1154
676,795
676,2940
677,676
677,1237
677,2487
690,727
693,1227
703,682
703,759
708,889
718,817
746,1168
749,927
763,989
768,986
775,1213
777,1155
787,895
790,1143
819,1310
826,1340
834,1306
850,892
860,1292
861,1589
867,1142
880,1202
883,1287
883,2757
885,1292
889,984
893,999
900,1016
902,1054
903,1163
904,1211
910,2362
912,1164
917,1154
925,1162
925,1166
930,2674
930,2700
932,2695
933,1215
934,2638
937,1074
941,1131
949,2703
964,1193
970,1555
974,1204
975,977
977,1223
979,971
980,1058
988,1071
988,1587
1003,997
1013,1024
1016,915
1016,1018
1021,1128
1023,1049
1026,1058
1027,974
1030,964
1037,981
1042,1119
1053,1265
1054,1156
1059,1134
1062,1182
1067,899
1069,925
1069,1257
1069,1261
1071,918
1071,1167
1072,1196
1072,1203
1076,1148
1076,1270
1077,1293
1083,1171
1085,907
1085,1234
1090,895
1091,831
1093,891
1095,1170
1097,1165
1100,894
1100,2604
1105,1194
1106,899
1110,888
1112,1195
1116,876
1120,1191
1121,884
1121,1209
1122,1306
1123,1249
1125,874
1126,878
1129,1278
1131,872
1131,1240
1132,877
1141,1260
1142,1212
1153,866
1158,1208
1165,1277
1167,837
1169,1210
1171,861
1178,1219
1186,1217
1187,1230
1188,768
1189,841
1191,854
1194,849
1202,855
1207,1209
1215,870
1219,1263
1229,1214
1249,1199
1249,1314
1269,1214
1328,1208
1331,1188
1346,1209
1348,816
1359,1807
1365,958
1370,1819
1378,2380
1384,783
1384,845
1385,2163
1386,2539
1387,1913
1391,1982
1392,955
1393,1037
1393,1066
1406,1928
1407,901
1407,1079
1409,1084
1411,1063
1412,1055
1412,2646
1413,1911
1414,1049
1414,2482
1416,2420
1423,2447
1427,2458
1451,1091
1459,1803
1464,1117
1468,1996
1471,1778
1475,1796
1487,2090
1491,1882
1491,2490
1496,1718
1496,1866
1496,2495
1505,2426
1506,1610
1514,2122
1520,905
1520,1722
1522,2147
1523,2264
1524,2248
1525,1640
1526,1932
1529,1646
1531,2898
1532,2636
1533,1566
1537,1544
1537,2897
1538,2403
1538,2856
1539,2150
1540,2391
1540,2519
1540,2849
1544,2359
1545,2149
1545,2738
1547,1544
1548,2374
1552,2742
1554,2166
1554,2461
1558,2293
1559,2429
1561,2057
1562,2543
1563,2097
1567,1580
1572,1540
1574,1669
1575,2879
1577,2253
1580,1553
1581,1929
1582,1578
1582,2168
1585,1599
1585,1793
1585,1910
1586,1733
1586,2092
1589,2105
1589,2111
1598,2245
1604,1563
1609,1370
1609,1963
1610,2016
1611,1375
1611,1568
1611,2316
1612,1838
1612,1914
1617,2844
1618,1503
1618,1514
1620,1934
1621,1620
1621,2685
1626,1630
1627,1201
1627,1584
1628,2274
1630,1918
1633,1616
1634,1477
1635,1662
1639,1275
1642,1782
1644,1332
1644,2065
1645,1001
1647,1675
1649,2333
1653,2180
1654,1926
1654,2184
1654,2230
1656,1939
1658,1029
1658,1204
1658,1384
1659,1380
1659,1747
1659,1899
1661,1334
1661,2896
1665,760
1667,1062
1668,754
1669,1530
1671,758
1671,2928
1673,1062
1673,2233
1677,2703
1679,1220
1680,1776
1680,1863
1681,1905
1682,662
1683,1150
1683,1254
1683,1804
1684,1058
1685,1183
1687,1061
1689,1559
1691,2671
1694,1189
1696,1032
1697,638
1698,1434
1704,2972
1705,1205
1706,767
1707,891
1707,1774
1708,2976
1709,1369
1709,1374
1709,2651
1710,942
1711,954
1713,2684
1714,1197
1718,2706
1720,964
1721,703
1725,2904
1726,2206
1727,2765
1730,2034
1730,2197
1730,2925
1736,2195
1737,1487
1738,965
1742,1483
1743,2944
1745,2013
1746,1258
1746,2640
1749,2668
1750,691
1753,2702
1755,1265
1762,1558
1766,1598
1766,1816
1767,1396
1768,2223
1783,1405
1783,1458
1784,1471
1786,1422
1786,2735
1787,1476
1790,2165
1796,2762
1799,2165
1800,1470
1804,1259
1805,1253
1808,1311
1809,523
1811,1601
1816,2766
1817,1261
1819,1722
1821,1258
1824,1285
1825,655
1838,1478
1840,2901
1841,1285
1842,1277
1842,1304
1846,1299
1846,1514
1849,606
1856,919
1868,723
1871,1264
1891,1519
1894,1840
1899,890
1902,2564
1905,1844
1905,2908
1910,867
1916,895
1921,2388
1924,2529
1926,2157
1933,1670
1934,1330
1935,2309
1937,1251
1946,1882
1949,2164
1954,938
1960,1233
1962,1874
1967,2500
1969,2616
1970,2709
1974,1547
1975,2347
1977,1487
1978,1743
1980,958
1982,914
1988,2363
1989,1976
1989,2757
1992,1893
1993,941
1996,1522
1996,2816
1997,1422
1997,2790
1998,1477
2001,2285
2001,2519
2003,1431
2003,2294
2004,2754
2005,984
2005,2579
2008,1659
2009,2751
2012,1668
2016,1163
2018,2296
2019,1006
2021,2622
2022,902
2022,993
2024,1758
2029,1172
2029,1708
2032,2130
2035,2194
2037,1119
2038,1078
2039,1007
2040,1093
2040,1542
2040,2582
2041,1821
2041,3050
2046,2651
2048,1940
2049,1255
2049,1260
2050,1218
2053,1408
2054,1812
2056,1288
2056,1383
2057,1431
2057,2652
2062,1285
2063,1380
2063,2652
2063,2761
2068,1796
2068,2198
2070,907
2072,1620
2073,1497
2074,2751
2080,1163
2082,1818
2082,1971
2085,1051
2085,1112
2085,1752
2085,2643
2089,927
2090,1006
2091,974
2091,986
2091,2948
2096,2953
2098,2516
2101,2969
2104,1837
2105,2509
2107,2041
2107,2276
2109,2281
2110,1243
2112,2258
2114,1988
2116,2523
2124,1947
2125,2635
2126,2990
2128,994
2128,2927
2129,2383
2133,2379
2136,2651
2138,939
2138,2969
2142,2655
2142,2659
2142,2724
2143,2667
2145,1049
2146,2751
2153,2778
2154,2782
2157,2805
2157,2904
2161,2939
2163,2845
2167,2950
2174,2218
2187,2179
2226,1022
