y,x
0,1952
0,2343
0,2693
54,2152
60,1087
60,1987
158,1101
207,2521
213,2536
229,2501
248,1039
265,2421
266,2396
269,2368
272,2500
273,2440
275,2365
277,2437
279,2448
279,2472
285,2449
295,2515
315,2949
324,2868
326,2862
328,2495
337,2497
339,2564
341,2760
343,2582
349,2919
355,1418
360,2841
367,991
369,3045
371,931
374,2546
376,1008
377,2205
377,2723
378,934
380,3034
382,2544
387,2545
388,1026
389,1553
402,2559
407,1421
422,1106
430,3020
435,1768
436,2601
446,2885
456,804
459,2848
462,1369
462,2843
484,2684
489,1546
490,2738
497,1421
501,3104
509,2742
526,3067
534,2627
546,1285
547,2656
552,777
555,2930
558,1339
562,1449
564,2531
566,1155
571,1155
588,2521
592,2555
596,1153
600,1395
606,1149
606,1177
611,2306
626,2760
627,1148
630,1352
634,2469
638,1192
656,2780
657,2434
666,2312
676,1237
678,2939
687,2368
691,2562
692,1229
699,1096
699,2283
699,2344
702,1074
703,1064
703,2610
704,1135
707,2533
712,1025
717,2329
721,2552
726,2385
741,2100
745,1170
746,2519
748,2290
748,2302
761,2086
768,2189
772,2481
774,1213
776,1158
789,1144
803,2048
815,2831
820,1313
823,2109
828,1338
834,2380
836,1308
849,1290
860,1977
861,1596
868,1143
880,1202
883,1289
884,2363
884,2728
885,1294
888,985
893,1205
899,1014
899,2513
901,1058
903,1087
903,2357
904,1163
904,1212
904,2525
905,2791
909,2494
911,1164
913,2267
915,1152
917,2709
918,2556
924,1162
924,1166
928,2179
929,2702
930,2498
932,1214
932,2478
932,2697
934,2641
936,1075
940,1133
942,1217
942,2650
944,1075
948,2712
949,1078
962,2717
963,1193
970,2105
971,1556
974,979
974,1205
978,2189
979,1059
981,1171
981,1223
981,1243
983,2190
987,1071
988,1588
996,1235
1015,917
1016,1020
1016,1040
1021,1128
1022,1051
1024,1198
1034,985
1035,2063
1043,945
1043,1216
1046,1220
1051,919
1051,1147
1052,925
1052,1265
1055,1157
1059,917
1059,1135
1062,933
1062,1187
1063,1177
1066,1182
1070,1168
1073,1204
1074,1279
1082,1171
1095,1237
1096,1165
1097,1173
1097,1284
1099,854
1103,1193
1104,2039
1111,1195
1114,876
1120,1189
1122,1209
1122,1247
1123,874
1123,1305
1125,1196
1127,862
1129,1277
1131,1241
1132,2605
1136,1207
1141,1200
1141,1998
1144,1183
1147,1266
1157,1208
1163,831
1165,1220
1165,1275
1166,836
1168,1210
1172,2568
1187,1229
1188,841
1195,1210
1248,1313
1250,1198
1276,1209
1354,1808
1371,1815
1373,868
1376,848
1387,2330
1388,846
1392,1973
1397,880
1403,1927
1409,2648
1410,1193
1411,1908
1413,2514
1414,2421
1419,875
1419,2448
1424,2453
1430,797
1452,2106
1462,1806
1470,1795
1471,2090
1472,2112
1483,2092
1483,2443
1489,1881
1492,1866
1495,2490
1504,1612
1504,2425
1506,908
1511,1686
1515,1827
1516,1722
1519,2265
1521,1932
1526,1645
1527,2254
1528,1825
1528,1986
1532,2279
1533,1821
1534,1545
1534,2628
1534,2891
1536,2863
1538,2376
1538,2896
1542,2149
1544,1545
1548,2534
1555,2790
1559,2295
1560,2006
1561,2104
1562,2542
1565,1582
1565,2293
1569,2270
1570,1541
1570,1935
1572,2274
1573,1539
1573,1544
1574,2280
1575,2878
1577,1554
1577,1596
1578,1592
1578,2163
1580,1732
1580,1910
1584,2105
1586,1997
1587,2734
1596,1521
1602,1962
1606,1838
1606,2016
1612,1631
1613,1502
1613,1933
1614,1363
1615,1513
1618,1530
1619,1918
1620,2684
1621,1645
1623,1612
1624,1234
1625,1917
1628,1476
1630,2944
1631,1612
1632,1198
1634,2037
1636,1274
1643,2118
1645,1677
1647,1921
1647,2229
1649,1938
1651,1016
1651,1186
1652,1898
1658,1030
1658,1985
1661,1520
1662,1056
1664,1060
1672,1095
1672,2317
1673,1862
1674,2231
1677,1138
1678,1027
1678,1120
1678,1221
1679,1041
1679,1046
1682,1552
1683,1183
1687,2864
1688,1064
1689,1195
1692,1109
1693,2648
1694,1032
1694,1116
1695,1130
1695,1186
1699,731
1700,1774
1702,1043
1702,1145
1702,1285
1702,2972
1703,1037
1703,1522
1705,918
1705,1195
1706,2973
1707,889
1708,1201
1710,1206
1712,953
1714,1944
1715,2794
1716,2704
1717,528
1717,965
1718,2938
1719,2933
1721,2210
1741,2943
1743,1258
1745,2640
1745,2706
1749,2667
1750,2222
1752,1258
1752,1265
1754,638
1755,949
1755,1560
1759,1815
1764,766
1764,1404
1771,661
1777,617
1779,1405
1781,1413
1782,1421
1782,2167
1784,2735
1794,1275
1795,856
1800,856
1800,863
1800,1285
1800,1470
1803,1273
1804,2766
1805,2192
1808,848
1808,1313
1812,1723
1813,2198
1817,1259
1820,835
1827,1483
1829,515
1835,1506
1841,2898
1842,1273
1846,534
1852,2908
1854,421
1854,1291
1863,853
1864,1272
1871,452
1875,697
1878,701
1884,642
1886,448
1887,533
1888,1518
1889,1841
1890,453
1890,614
1898,602
1898,2909
1901,1846
1901,2565
1905,658
1908,633
