y,x
0,2344
0,2690
30,2153
102,1037
114,1131
119,1178
123,1273
156,1230
186,2028
210,2550
231,1075
231,2502
246,2596
253,1036
259,2443
261,2478
268,2366
279,2471
293,2512
294,2519
297,2960
317,2485
332,2497
332,2741
332,2927
338,2747
340,2499
341,2564
341,2568
349,2509
353,3105
354,2515
356,1416
376,2548
384,1044
384,2727
385,2546
388,1025
390,3025
391,1553
392,901
398,1553
407,1418
422,2879
430,3021
436,3018
446,2783
447,1224
460,2849
461,1370
466,805
467,2940
483,1548
489,2779
489,2864
490,1551
492,2741
497,1424
497,1706
499,2711
508,816
535,718
540,712
554,2658
559,1343
559,1454
560,1154
563,637
564,1449
570,759
572,636
578,766
582,1582
596,1153
599,1396
606,1149
613,679
624,1186
629,1354
645,1197
647,1139
648,2592
651,1153
674,1235
691,1228
693,2571
710,1031
711,1140
736,2558
746,1171
775,1214
777,1160
808,1148
816,1294
822,1313
823,1293
830,1337
838,1309
860,1288
866,1583
868,1142
879,1201
884,1292
887,981
889,1296
893,995
900,1014
902,1057
902,1155
904,2377
905,1152
905,1163
913,1151
924,1164
931,1215
944,1217
945,1077
949,1125
950,1194
959,1078
969,1039
971,1033
971,1196
971,1221
972,1028
975,1554
980,1059
982,981
982,1172
983,1066
988,1061
990,1582
991,958
1013,1225
1014,919
1016,1021
1016,1150
1016,1208
1017,1052
1018,1057
1021,1129
1023,1051
1025,1198
1028,968
1036,989
1038,1133
1038,1216
1042,1120
1045,1125
1047,975
1047,1221
1050,1203
1051,1148
1053,925
1058,1265
1059,1135
1062,1182
1063,1188
1063,1231
1065,901
1067,927
1071,1168
1071,1257
1073,1173
1074,1198
1077,1206
1079,1192
1080,1287
1084,1195
1089,892
1090,837
1093,892
1094,1169
1095,1179
1096,1237
1098,1166
1110,1194
1113,877
1121,1209
1124,1248
1131,1276
1137,1213
1142,1210
1148,1265
1149,868
1158,1207
1159,835
1161,1224
1166,1274
1179,1218
1188,841
1191,868
1196,1209
1248,1198
1369,1819
1370,1811
1371,2383
1384,1917
1384,2315
1389,1985
1391,849
1394,856
1394,1203
1405,2649
1410,2518
1411,1914
1411,2422
1416,880
1416,2448
1417,1070
1422,2449
1423,2141
1431,977
1447,1084
1459,1805
1462,1116
1467,1793
1479,2445
1481,2093
1485,1881
1488,1719
1490,1866
1492,2422
1494,2490
1501,1993
1502,1612
1502,2424
1506,2458
1508,2122
1512,1682
1512,1833
1513,1722
1515,1643
1517,2265
1518,905
1518,1932
1519,2147
1524,1644
1524,2251
1525,1824
1525,2497
1527,1568
1529,2906
1530,1819
1531,1528
1533,2204
1534,1546
1535,2513
1537,2377
1537,2476
1538,2149
1539,2516
1541,1576
1542,1545
1542,1700
1543,2528
1545,2150
1548,2534
1548,2864
1550,2292
1554,2296
1554,2787
1555,2040
1557,1560
1557,2290
1559,2103
1559,2133
1565,1961
1566,1751
1568,1540
1568,2275
1571,909
1571,1545
1573,1922
1575,1553
1575,1596
1575,2156
1575,2880
1576,1731
1577,798
1578,1577
1578,1909
1579,1600
1581,2106
1582,2733
1584,1908
1584,2012
1588,1559
1589,1297
1591,2244
1597,1961
1602,2973
1603,1913
1604,2015
1605,2321
1606,1567
1606,1880
1607,1742
1609,1932
1612,1502
1612,1513
1612,1619
1615,1638
1617,1629
1618,2280
1618,2683
1620,933
1621,1916
1623,1235
1627,1347
1627,1476
1634,1273
1634,2057
1637,2008
1643,1909
1644,1318
1647,1896
1647,2230
1649,2179
1650,2184
1653,1983
1657,1031
1657,1204
1661,1526
1663,673
1663,1534
1666,1054
1666,1089
1670,2231
1674,747
1678,1071
1678,1150
1679,1123
1679,1128
1679,1219
1680,1552
1681,1144
1681,1183
1683,1051
1684,1038
1685,2862
1686,2822
1687,1067
1687,1195
1689,1062
1692,1010
1692,1432
1694,1773
1695,1044
1696,632
1697,732
1697,1031
1702,1185
1703,2971
1704,1191
1706,910
1706,914
1706,2976
1708,2652
1710,1200
1712,1017
1712,2958
1713,955
1715,970
1717,2703
1718,2210
1721,2030
1723,2907
1725,683
1725,1673
1728,683
1730,1485
1736,2010
1739,1482
1740,1478
1741,2222
1741,2911
1742,1258
1743,2945
1744,2640
1749,2667
1749,2701
1753,1814
1756,1261
1762,1400
1773,917
1776,2167
1779,1422
1784,1273
1789,2161
1790,2733
1792,1274
1792,2763
1794,858
1799,1546
1801,1309
1803,2766
1804,2193
1805,1458
1807,1722
1810,1259
1812,2197
1823,1483
1824,656
1830,1503
1831,1284
1840,1284
1844,1280
1847,1614
1852,760
1854,1295
1864,533
1866,1264
1869,718
1887,1841
1897,1846
1901,2564
1910,872
1911,867
1912,1251
1915,895
1917,2890
1921,2380
1923,2160
1923,2529
1925,1667
1930,1245
1932,1343
1933,2310
1934,1253
1936,1247
1941,1877
1945,2169
1954,1879
1959,940
1963,1554
1967,2467
1968,2771
1971,1531
1978,2793
1984,960
1985,926
1985,2340
1988,1525
1991,1666
1999,2293
2000,2297
2003,2927
2007,800
2007,986
2007,2739
2010,2310
2018,1157
2018,2131
2021,1007
2022,1518
2025,1538
2026,1009
2027,1176
2035,2157
2037,1120
2039,1075
2039,2759
2040,1096
2041,861
2046,1222
2046,1317
2046,1381
2049,1388
2049,2755
2050,1298
2051,1307
2053,1375
2053,1419
2056,1605
2057,2279
2061,1127
2064,1501
2065,895
2065,1647
2065,1823
2069,2959
2074,918
2075,1168
2077,1138
2078,2281
2078,2307
2080,1810
2082,1010
2087,2418
2088,1842
2091,2267
2092,2261
2097,2276
2100,2931
2103,1259
2103,2939
2104,2372
2105,1953
2105,2385
2105,3009
2108,1057
2109,1061
2109,2732
2110,2383
2116,2726
2120,2772
2125,2786
2130,2944
2131,1147
2131,2953
2139,2903
2154,2224
2167,2184
2193,1437
2208,1480
2209,1336
2216,1236
2217,1462
2226,1423
2227,1271
2241,1195
