y,x
0,1780
0,1898
0,1977
0,2125
0,2366
0,2644
0,2701
1,2083
11,3103
40,2998
61,1976
61,2076
81,1068
81,1880
91,1883
93,1983
95,1222
96,1169
117,1281
122,1285
150,1745
156,1289
167,2973
172,2870
186,2824
191,2911
195,2798
206,2543
210,1789
220,2944
227,2768
235,2975
244,2769
245,1056
253,1058
263,1781
265,2752
270,2563
275,2746
278,1074
280,2321
282,2476
289,2578
293,2610
297,2796
304,2529
307,2709
308,2470
314,2477
315,2854
319,2622
320,2519
325,2492
330,2722
339,1567
343,3105
346,2776
346,2783
350,2848
357,2670
359,2516
359,2552
361,1048
362,943
366,2589
369,992
372,2750
380,2204
381,1796
383,2679
387,1743
388,1026
400,889
406,854
406,2631
408,2698
410,2715
413,872
414,2911
419,3045
422,2746
425,779
426,3020
427,1635
428,3103
433,1386
441,1310
441,2571
443,1625
446,1487
450,2813
451,2809
455,2935
456,2577
464,2581
467,2736
468,1530
482,1540
484,1533
484,3105
485,2776
487,1708
487,2951
488,2577
491,1320
491,2986
506,3104
507,2736
511,2575
514,1344
515,1395
524,1666
526,2819
531,2657
540,702
541,1231
544,616
544,2928
547,2526
549,1342
550,2679
550,2683
553,1198
553,2169
556,647
559,1456
560,1310
564,1307
565,2818
573,1274
576,1152
576,2202
585,569
588,2546
589,2550
590,554
591,1295
595,561
595,1154
595,2756
596,1296
597,1481
597,2274
600,3105
602,1174
602,2241
605,1149
606,2184
609,1398
612,2308
617,2456
618,1654
619,2462
621,638
621,793
623,2658
623,2663
627,2944
628,780
639,2436
641,2344
641,2981
642,1259
647,1139
650,2784
658,1477
667,2235
668,3072
671,751
673,2454
676,1265
677,2786
680,2610
685,750
691,1224
691,2355
692,2946
693,3076
695,2657
697,1301
699,1098
703,1066
703,1074
705,915
707,2058
709,1199
710,812
711,2037
712,1025
720,1295
720,2121
727,2340
729,3029
730,2392
730,3105
733,936
735,1023
736,1189
736,1196
738,1286
743,2090
743,2876
746,943
747,916
749,966
749,1036
756,2298
757,3043
759,3105
764,2236
764,2260
765,2775
766,2323
771,2210
774,1214
776,1057
777,2126
790,1142
790,2140
792,2835
799,2033
800,2107
803,2096
806,1295
809,2054
810,1325
814,1149
823,1290
823,1959
827,1619
833,2379
854,2249
859,884
860,1552
866,3048
868,1275
872,841
873,1279
873,2547
880,1202
893,1204
894,2204
897,2527
898,1162
899,1160
901,1210
902,2514
903,1039
909,2495
912,1146
912,2727
917,2709
918,2487
922,2520
925,1135
933,1214
933,2696
934,2640
934,2752
936,2177
938,765
938,1319
939,1054
939,2481
940,2646
941,1576
942,1217
942,2338
943,1067
948,2499
952,1057
955,1118
962,1220
962,2816
969,1326
969,1596
975,978
975,1053
976,814
978,1168
984,1064
985,2735
987,989
993,888
994,1511
998,970
999,1037
1003,793
1006,926
1008,987
1010,899
1013,1225
1013,2749
1014,978
1014,1151
1015,959
1015,1209
1022,1044
1023,953
1023,1112
1023,1165
1024,2748
1026,1203
1030,1079
1030,1084
1031,986
1031,1001
1031,2945
1034,1085
1036,1219
1042,1128
1044,934
1044,1227
1046,939
