y,x
0,2142
0,2341
0,2697
1,1947
33,1856
59,1199
80,1939
92,1045
97,1946
100,1140
111,1290
113,2846
122,2830
128,2844
142,1246
150,2452
156,2796
203,1765
205,2519
214,2536
238,952
243,1458
249,1045
254,1044
263,2415
265,2395
266,2497
268,2368
272,1033
273,2359
273,2751
274,2746
276,2363
278,2751
280,2448
286,2449
288,2518
289,2477
290,2301
290,2445
291,2521
293,2734
300,2927
304,2956
308,2746
313,2746
316,2701
319,2720
322,2485
333,2497
333,2580
336,874
338,2761
348,2566
352,3105
355,2220
359,3103
364,2579
365,2681
365,2716
368,994
372,2679
373,3045
378,934
378,1798
384,1044
385,2655
387,1050
387,3041
388,912
388,1026
389,1548
397,553
398,1548
401,1420
401,2811
403,1081
404,1754
422,3067
426,3056
429,1640
445,1635
448,2881
452,800
458,2848
464,2836
464,2847
481,3105
483,1540
484,2679
496,1558
497,1417
498,1548
503,3104
506,551
508,2739
515,2775
526,2738
528,2577
533,2539
533,2623
550,2643
553,777
557,627
557,1338
557,2928
560,1447
568,632
570,2165
577,527
578,1449
578,2204
578,2524
585,1153
585,1167
586,2574
589,533
589,3017
592,3014
595,1154
596,2246
601,1391
603,1155
605,2434
608,612
610,2277
611,2152
615,2197
617,2326
619,572
622,513
629,660
629,1347
630,1652
630,2757
636,1194
643,559
643,2112
644,1146
645,2440
647,526
647,2850
651,2438
655,1154
668,2929
670,2771
675,1232
676,2029
676,2968
677,791
677,1304
678,1843
680,2482
682,528
685,639
686,533
692,1223
699,682
700,1094
700,2644
702,763
703,1131
706,895
711,1031
711,2405
712,1025
718,822
722,2550
728,2381
735,1882
735,2101
735,2362
736,2343
740,2525
743,1162
749,2518
751,2750
752,2754
761,997
766,993
767,2077
774,1214
775,2184
781,2484
782,901
784,1293
785,1820
788,2154
792,2760
793,2150
793,2488
810,1999
814,1149
817,1308
820,1148
824,1337
828,2857
831,2848
832,1304
835,1798
843,2393
850,1677
851,1673
858,1954
860,1292
873,1561
876,877
880,1202
881,1285
883,1290
885,2724
886,980
890,1888
895,2476
901,1163
902,1039
903,1086
909,1154
912,1164
914,2799
914,3105
915,1850
915,2271
918,2709
919,2702
924,1683
924,2496
925,1163
927,1622
927,2635
933,1215
938,2475
939,2186
940,2480
941,1130
942,1612
943,1218
944,1073
944,2654
949,1193
952,2713
960,1576
962,1570
965,786
966,1957
969,1195
970,3086
974,975
975,2738
978,969
980,1054
981,1169
981,1241
985,1489
985,2734
986,2068
986,3096
987,1070
988,2190
997,981
1000,977
1005,1660
1010,799
1013,2044
1014,1818
1015,913
1016,1018
1020,1127
1021,1164
1022,1049
1029,963
1030,1003
1037,979
1037,1213
1038,3045
1041,1134
1043,1122
1046,978
1046,1127
1048,1202
1052,1265
1053,1156
1055,1775
1062,1188
1066,1198
1067,898
1068,1257
1070,922
1070,1167
1070,1202
1071,1196
1073,1163
1082,670
1086,813
1087,1157
1090,783
1094,1237
1099,1173
1100,895
1102,1180
1109,2014
1111,887
1111,1195
1113,1241
1114,2049
1116,875
1119,1190
1122,884
1122,1249
1124,2784
1124,2795
1125,873
1125,1196
1128,1279
1132,871
1132,1241
1133,865
1136,1987
1138,2605
1141,1261
1146,1308
1154,865
1157,1208
1160,867
1161,2881
1163,1952
1165,1220
1167,837
1169,2810
1170,825
1173,2567
1178,1219
1185,1218
1189,765
1189,1232
1191,840
1199,2635
1202,1961
1208,2684
1212,836
1216,841
1222,1207
1228,1215
1238,873
1243,1234
1247,1246
1250,1313
1274,1188
1275,1202
1296,1201
1356,1805
1369,839
1371,1816
1380,1211
1381,781
1383,844
1384,866
1387,890
1387,2372
1388,2162
1391,1910
1391,1980
1399,685
1402,2533
1404,1046
1407,1928
1408,901
1408,1078
1409,655
1410,1083
1414,1909
1417,2148
1419,2647
1420,929
1430,984
1432,980
1432,2482
1434,2418
1438,2417
1465,1117
1465,1802
1469,647
1469,1995
1473,2099
