y,x
0,2154
0,2346
0,2683
1,1957
31,1099
57,1991
68,1074
70,1996
84,1181
99,1093
100,1083
110,1127
126,1268
160,1225
207,2555
211,2528
233,2503
246,2638
248,1436
267,995
269,2355
269,2638
271,992
271,2410
274,2398
275,1017
275,2500
276,2461
295,2513
298,2962
299,2933
316,2501
329,2870
334,2490
334,2498
341,2566
346,2505
347,2739
354,3104
359,2842
361,3105
370,983
375,922
375,2538
377,2716
379,2548
382,924
382,2202
387,1788
388,3044
390,1026
399,1548
400,3020
407,2561
409,1421
413,2731
431,3020
432,3060
434,2726
440,3083
441,2603
441,3003
447,2754
451,1216
458,2865
462,1370
467,2842
468,805
484,3105
488,2687
491,2577
496,1541
497,1425
500,3104
504,2578
531,2745
539,2631
543,719
553,711
555,2661
558,1154
559,772
560,1344
565,768
566,642
566,2556
569,2560
570,762
571,1448
573,2623
574,637
574,1595
575,2537
576,2603
580,765
587,2530
592,1578
597,1152
599,1398
608,1147
613,2256
615,679
616,2282
616,2497
618,2331
621,2374
625,1187
627,2763
628,1355
632,2242
642,1203
656,2773
659,2440
666,2248
666,2314
668,2943
669,664
671,2952
674,1235
681,2593
682,2614
685,1143
691,1228
699,732
699,2646
702,2345
704,2340
707,2430
707,2534
711,1141
725,809
727,2387
735,2350
741,1174
745,2520
748,2101
749,2294
749,2298
751,2750
752,2530
768,2081
768,2211
770,2191
771,998
773,2486
775,1213
775,2189
777,938
785,2861
788,2153
803,897
806,2044
820,1296
825,1315
827,2436
832,1341
834,2102
840,1312
855,1686
868,1143
879,1202
890,2735
891,1299
894,1413
895,1907
899,1014
899,1415
899,2469
901,2790
902,1057
902,2356
908,1161
911,2267
914,1204
924,1164
925,2711
926,844
929,1215
932,2468
937,2481
938,2176
943,2174
945,1079
946,1074
964,2104
971,786
971,1198
974,1560
976,789
977,983
978,2189
979,979
980,1061
983,983
983,1174
986,1088
987,1075
988,1063
989,1493
992,1225
999,1636
1016,1150
1016,1209
1017,922
1017,1051
1018,1056
1020,1198
1022,1131
1023,1053
1023,2049
1026,1061
1028,969
1031,987
1039,1217
1039,1234
1041,1136
1042,1121
1045,1202
1047,933
1048,1223
