y,x
0,1912
0,1972
0,2428
0,2704
1,2131
7,3103
29,2096
34,2984
37,3051
51,3017
62,1219
71,2980
73,1922
91,1883
91,2987
96,1166
104,2091
115,1318
143,2976
151,3033
160,1284
162,1025
178,2816
192,2797
201,2524
207,2545
211,1786
216,2503
222,2703
228,2762
242,2766
244,1495
245,1050
254,1052
264,2503
265,2928
266,2751
267,2509
271,2505
274,2345
274,2352
274,2960
276,1063
277,2543
278,2959
279,2401
288,2774
289,2445
290,2581
292,2602
300,2530
310,2856
311,2529
312,2487
313,2772
315,2480
318,2523
322,2620
324,2833
325,2494
331,2722
336,2861
343,2519
343,2638
345,3105
347,2778
348,2784
349,3105
352,1786
352,2559
355,2862
356,2222
357,2553
360,2542
362,1044
364,2723
366,2606
366,3033
368,2589
370,991
372,2606
374,2656
374,3037
381,1797
383,2802
387,1050
389,1026
390,1744
391,1427
393,1454
400,2549
401,888
401,1075
402,2566
402,2684
407,2629
409,853
410,2718
411,2748
413,2577
416,2910
420,3047
429,1345
429,1635
429,3105
430,2567
434,3013
436,3006
438,796
440,1382
442,1386
448,1392
448,1623
450,1487
451,2812
454,2794
465,2580
467,2735
469,2549
470,1530
477,825
486,1543
487,1534
488,2576
491,2779
493,1314
502,1326
509,2562
510,1344
519,1216
526,2643
534,703
537,2524
539,2211
542,764
543,2524
545,754
548,759
550,749
551,1322
554,1190
559,603
559,1450
559,2172
562,2523
566,2805
571,2215
577,1298
580,2246
581,2200
584,556
584,1299
584,2241
585,1318
586,1176
587,551
588,2258
588,2753
591,1175
594,2154
594,2788
595,1153
596,1478
598,2274
601,2787
605,1148
606,1391
606,2183
607,2164
608,547
608,2243
613,2309
621,2132
622,788
623,639
623,2455
630,781
637,2381
639,1154
640,1677
641,1149
641,1258
646,1135
650,2858
656,2844
656,2974
657,1478
657,2417
664,2410
668,722
670,777
670,2845
671,2801
678,2499
678,2609
678,2617
680,2654
680,2925
686,2951
687,2668
690,1221
695,1302
698,2568
698,2573
700,1098
703,1065
704,913
704,1235
704,2658
710,2055
714,812
714,2035
716,1200
725,2338
726,2556
727,1291
728,2119
734,878
735,933
737,1017
737,1189
741,2370
742,2352
745,2088
745,2360
755,2253
755,2292
756,2309
757,939
757,1009
759,2250
759,2732
760,2255
764,2235
766,2231
767,2204
771,2220
772,2216
774,1214
777,2663
784,2704
790,2155
791,1142
791,2139
792,2708
794,2508
796,1147
799,2476
799,2516
801,1148
804,2039
804,2507
805,2872
807,1295
807,2504
810,2084
811,2080
813,1318
814,1150
816,1735
818,2053
821,2046
826,2767
834,1953
836,2473
840,1578
840,2364
842,1976
844,2418
845,947
856,1550
860,2880
862,884
873,843
874,1278
875,2891
877,2872
878,1202
880,862
884,836
890,979
894,1001
895,2721
900,1627
900,2513
903,1038
903,1087
905,2502
906,2526
909,2496
910,2713
917,2606
919,2485
921,1157
921,2282
924,1135
925,1164
929,2769
933,1214
940,1055
940,2480
942,2337
943,1218
944,1067
944,1127
945,2174
948,2325
951,2506
952,2822
953,1057
958,773
958,1295
962,2719
964,1220
971,1595
975,2163
976,979
981,1500
984,1065
984,2740
985,1078
997,997
999,971
1000,927
1006,1030
1007,794
1009,899
1012,1266
1013,1008
1013,2750
1015,1208
1016,959
1016,1151
1017,1127
1019,1164
1020,970
1025,1011
1025,1202
1027,1082
1031,1003
1032,988
1032,2754
1034,1236
1036,1140
1037,1218
1043,2081
1044,1119
1047,939
1051,951
1051,1266
1053,1935
1055,916
1064,891
1065,915
1066,1144
1068,1167
1073,1416
1076,662
1076,916
1085,2920
1089,902
1091,879
1091,1238
1093,885
1096,1165
1098,897
1098,1173
1099,1192
1100,1865
1100,1917
1106,1296
1106,1913
1109,889
1109,1178
1109,1187
1109,1195
1112,1304
1113,1208
1115,2998
1120,871
1120,1190
1120,2586
1124,1195
1127,1339
1128,860
1129,869
1131,1241
1132,1229
1135,868
1135,2070
1137,1271
1145,1187
1145,2001
1153,1207
1159,1223
1161,831
1161,1289
1162,1204
1167,858
1167,1212
1168,814
1173,1958
1177,1984
1179,1223
1187,765
1187,2874
1193,864
1197,837
1207,839
1208,1971
1217,1215
1219,833
1221,1224
1225,1222
1244,1205
1245,2687
1247,1329
1257,1326
1262,1319
1264,1222
1269,1201
1271,1212
1274,1187
1302,1203
1340,1177
1342,1804
1343,1231
1347,1144
1349,2684
1352,1205
1354,809
1358,1219
1369,1815
1372,1100
1375,1119
1379,2776
1382,1112
1385,1167
1386,1065
1386,2418
1389,772
1390,839
1392,2085
1394,1117
1397,1101
1400,681
1400,955
1401,647
1401,885
1401,1913
1402,634
1403,1124
1405,2604
1415,1056
1416,1066
1427,995
1427,1896
1435,1901
1441,2749
1457,1098
1458,592
1463,1958
1464,468
1468,444
1468,1124
1469,2595
1472,2519
1474,639
1475,795
1482,608
1482,2842
1483,465
1490,1841
1491,1823
1496,2213
1497,568
1499,2809
1500,1797
1501,2001
1501,2353
1503,1611
1504,443
1505,1736
1507,1760
1507,1764
1507,2260
1508,2286
1509,2270
1512,1828
1515,1579
1516,1889
1517,2092
1517,2310
1517,2470
1518,1660
1518,2304
1519,2466
1520,2509
1523,1644
1523,2087
1523,2199
1523,2204
1529,530
1530,2226
1531,2489
1539,2643
1544,2334
1545,1707
1545,2439
1547,2095
1547,2101
1548,2958
1549,2334
1549,2521
1551,2024
1551,2279
1552,2219
1555,2405
1559,2077
1564,1559
1564,2136
1564,2574
1565,2541
1566,1995
1566,2259
1566,2564
1567,1587
1568,2110
1569,2640
1571,1557
1571,2194
1571,2428
1573,2573
1576,907
1576,2568
1579,1535
1579,1976
1579,2408
1579,2573
1585,2158
1586,1717
1586,2447
1588,2434
1590,1555
1590,1742
1592,2817
1593,1584
1594,1606
1596,2893
1600,2304
1601,1962
1602,1642
1602,1743
1603,2145
1603,2537
1605,2582
1606,1974
1610,2131
1612,2550
1613,715
1615,2160
1615,2289
1616,1004
1616,1369
1616,2587
1618,2283
1618,2906
1625,1510
1625,1580
1626,1411
1629,1923
1629,1932
1630,2340
1632,1411
1632,1526
1633,2278
1634,1917
1635,1748
1636,2870
1637,1226
1637,2585
1637,2744
1638,530
1638,937
1640,1990
1642,1519
1643,2259
1644,1279
1644,1336
1645,2017
1646,1319
1646,1603
1648,1486
1648,2883
1655,2319
1656,1122
1657,1336
1657,1948
1658,1944
1661,2709
1662,1208
1662,1271
1662,1789
1666,760
1670,1066
1671,1056
1671,1093
1672,1621
1673,1846
1674,2161
1677,1030
1679,1220
1681,1119
1682,666
1682,2854
1683,1981
1684,2193
1685,1963
1686,1946
1687,1069
1687,2274
1688,2060
1689,1188
1690,2800
1691,2057
1692,2908
1693,1547
1694,1995
1695,1037
1696,1044
1698,1196
1699,1824
1699,2841
1701,1020
1701,1928
1704,2228
1705,2007
1709,1456
1713,1696
1714,603
1715,1455
1715,1669
1715,2712
1718,964
1718,1937
1721,1265
1724,1934
1724,2013
1725,1810
1725,2888
1726,2907
1727,1568
1727,1951
1729,1213
1732,680
1742,961
1742,1215
1742,1789
1743,1257
1744,2004
1744,2748
1746,1811
1753,748
1756,1375
1756,1970
1756,2743
1762,1675
1763,1231
1763,2221
1765,2709
1771,1231
1774,1495
1779,1492
1779,1932
1781,1824
1782,1814
1782,2202
1782,2730
1788,2733
1789,1275
1791,1402
1792,1479
1795,2181
1797,2827
1797,2832
1799,2268
1799,2652
1799,2952
1800,2675
1804,1252
1804,1458
1805,790
1805,1966
1806,1473
1807,1970
1808,2861
1809,2050
1812,1256
1812,2199
1815,1712
1818,1462
1820,1716
1820,2292
1820,2746
1826,2030
1826,2757
1827,1872
1832,653
1833,1760
1833,2936
1834,2178
1836,1523
1838,2925
1840,1271
1840,2177
1840,2935
1844,1278
1846,1821
1847,1283
1855,1290
1856,1431
1857,1259
1860,603
1860,1279
1860,2131
1860,2844
1867,1595
1868,2319
1868,2827
1872,2174
1873,849
1873,1302
1877,2892
1879,1473
1893,1332
1893,2173
1894,700
1895,1284
1896,794
1897,1271
1898,2892
1900,1526
1903,2562
1903,2819
1905,2221
1911,741
1913,886
1919,868
1919,1254
1920,697
1923,850
1925,673
1928,891
1933,2668
1937,2446
1956,1519
1959,2816
1965,742
1966,1336
1970,2760
1975,951
1975,1223
1976,1631
1979,1261
1981,2940
1987,2753
1994,974
1994,2867
2004,915
2008,913
2009,1613
2011,2279
2012,2906
2014,1947
2014,2008
2017,932
2027,2223
2032,956
2034,1814
2050,2498
2051,2702
2051,2834
2058,2833
2062,2302
2072,1420
2074,779
2089,2266
2096,2330
2099,2756
2108,1510
2108,2493
2123,948
2130,848
2133,770
2137,828
2138,2321
2138,2755
2141,1029
2148,1207
2148,1302
2149,878
2149,3105
2151,1145
2153,1514
2156,1072
2157,2803
2157,2955
2163,2890
2163,3092
2164,2894
2173,1329
2177,1358
2179,1400
2179,2933
2180,1417
2183,2937
2184,1081
2185,1115
2186,1265
2187,1028
2187,2935
2188,896
2191,967
2197,938
2200,948
2202,1538
2213,2921
2230,1225
2230,2926
2230,2948
2246,1189
2247,2883
2251,2848
2256,1049
2259,1100
2268,2964
2277,2905
2277,2946
2279,2845
2279,2890
2282,2898
2291,1100
2297,2897
2308,2822
2308,2878
2316,2842
2327,2908
2328,2953
2334,2957
2345,2876
2347,2889
