y,x
0,2133
0,2337
0,2686
1,1943
20,3105
26,1110
37,1847
39,2977
56,3046
58,1981
65,1207
73,1935
92,2849
98,1958
99,2832
103,1146
106,2847
115,1314
145,1262
157,2809
165,2966
166,3041
199,2513
202,1759
208,2769
210,2535
220,2497
225,1486
227,1102
232,2926
233,1084
237,2402
238,2409
245,950
247,2411
248,1051
250,1057
251,2902
253,1052
253,2928
258,2492
261,2414
265,2885
267,2365
269,2379
277,2316
278,2445
279,1056
285,2474
285,2736
290,2446
291,2733
300,2764
307,2527
313,2524
320,2485
321,2764
326,2599
327,2621
329,2578
342,2568
344,3105
346,2563
347,2721
352,1783
352,3105
354,3098
355,2220
355,2514
360,2547
362,2542
364,2680
368,3044
370,984
370,1012
370,2680
378,3032
380,928
381,1548
381,1797
383,920
383,1043
383,2599
390,1026
392,2654
394,1417
394,2805
395,1745
396,553
396,1540
408,3012
415,2680
419,2995
426,3103
428,3019
433,2906
438,3003
439,3029
440,2991
446,1359
448,801
454,2843
457,730
457,1618
467,2678
478,1533
480,3105
485,551
489,725
489,2945
492,2574
497,2573
499,554
503,817
504,3104
505,549
505,1423
508,2775
510,3011
519,2575
524,2620
526,714
550,2523
553,633
554,1298
555,1445
555,2166
555,2224
555,2927
556,2203
557,1338
558,764
559,2049
561,2034
562,639
566,2231
568,1162
571,1153
575,512
575,2568
578,2027
579,2566
579,2570
583,1165
586,3104
588,532
589,785
592,527
593,2151
595,1152
596,1471
599,1561
599,2482
602,514
602,1385
603,674
604,2193
607,1234
611,2030
612,562
612,1153
613,2275
613,2307
615,495
615,2317
616,2325
621,2072
625,468
625,506
627,496
628,2757
630,1341
631,508
637,1846
637,2961
638,1809
642,2439
643,526
644,1145
645,662
648,559
653,1154
657,848
662,2071
669,2775
670,795
672,1795
676,2589
677,847
678,1209
681,2633
682,2838
683,532
683,729
685,1135
685,2450
686,1211
688,651
692,677
695,2339
695,3039
696,760
697,2643
699,1096
702,708
702,1066
704,1126
710,1031
710,1883
712,1025
714,820
723,3105
724,1736
729,2525
732,2357
736,2342
736,2362
738,3035
739,2352
740,2051
740,3011
741,1156
742,2281
743,2257
743,2261
749,2521
749,2775
750,3101
752,2248
753,2243
753,2534
757,2078
760,994
761,2202
764,2193
767,1819
770,1018
772,2186
773,1146
773,2182
774,1214
781,897
783,2492
784,2825
786,2136
786,2145
792,2118
793,1279
796,938
796,1144
799,2764
800,2142
808,1146
810,1299
816,1330
825,1295
828,1039
834,2867
837,3033
839,2861
844,2393
848,1671
850,1631
867,887
869,2853
871,1278
871,1554
876,1282
879,1202
891,991
893,1204
895,1003
898,1162
898,2513
898,2713
902,1038
903,1088
903,1199
909,837
909,2506
910,1148
912,1165
914,2795
915,1682
916,2527
918,2275
918,2710
921,2516
925,1161
927,2235
927,2635
927,3094
929,2554
930,2742
932,1214
939,2478
939,2637
940,1073
941,1067
941,1127
942,1218
942,2532
944,1056
944,1622
944,2655
945,2494
949,2665
950,1194
961,1960
963,1042
963,1219
963,3053
966,782
966,1038
970,1068
971,2161
973,968
973,2750
976,963
979,1051
979,1487
982,1588
986,1078
987,1065
988,2067
995,2956
999,997
1002,992
1004,2749
1011,795
1012,1204
1013,906
1013,1150
1016,1015
1019,1125
1020,971
1025,955
1031,1002
1031,2064
1034,1233
1035,1217
1039,975
1039,1132
1044,1169
1044,1223
1045,928
1045,944
1047,1201
1051,1266
1052,1153
1057,1132
1058,915
1062,1165
1065,1197
1067,915
1068,894
1068,911
1069,1166
1073,1312
1079,1289
1081,708
1087,1157
1089,902
1090,1173
1094,773
1094,1177
1095,1171
1097,1190
1100,895
1102,1179
1105,899
1105,3103
1106,1183
1114,884
1118,872
1119,2054
1121,1248
1122,1282
1123,2774
1125,880
1125,1196
1127,860
1127,870
1132,1241
1134,2792
1134,2934
1135,868
1136,862
1138,1991
1139,1263
1141,1200
1144,1183
1145,2606
1146,1187
1150,1275
1152,2781
1157,863
1157,1208
1157,2780
1158,2938
1166,1955
1171,1980
1175,2567
1177,2871
1180,2803
1182,862
1184,1231
1185,2873
1188,2779
1191,838
1205,1963
1213,862
1218,840
1218,2691
1221,870
1224,2615
1226,1206
1228,1216
1238,1204
1250,1204
1251,1313
1258,1219
1267,1211
1269,1215
1281,2741
1342,1803
1349,2793
1351,813
1360,945
1372,1811
1372,2081
1382,1212
1384,2379
1386,777
1386,967
1388,842
1388,888
1388,1017
1393,1036
1398,953
1408,2786
1410,1083
1412,1054
1412,2159
1415,1900
1415,2412
1417,2539
1427,2831
1430,2641
1436,2810
1443,2480
1448,1180
1456,2479
1465,2967
1466,1117
1469,2392
1471,1804
1482,2317
1484,1779
1489,2102
1490,1799
1498,2508
1501,2111
1508,1724
1508,2205
1510,2156
1511,1606
1511,2169
1511,2433
1513,2622
1514,1878
1519,1820
1520,2628
1522,2085
1523,1824
1526,1690
1528,2511
1528,2915
1529,1638
1530,2266
1532,2117
1532,2143
1533,1644
1533,1722
1533,2256
1534,2209
1537,2866
1540,1937
1544,1419
1544,1988
1545,2859
1546,2314
1550,2539
1550,2848
1553,1542
1558,2468
1561,2393
1563,2441
1568,2156
1573,2093
1574,908
1574,1581
1574,2097
1574,2137
1578,2543
1579,2469
1580,1961
1581,2885
1582,1538
1583,2282
1587,2561
1589,1548
1589,1672
1590,2172
1591,1582
1591,1588
1593,1952
1594,1708
1594,1719
1595,1600
1598,2338
1600,1914
1600,2546
1602,1374
1602,1739
1602,2848
1604,2855
1605,1364
1605,2743
1607,2251
1614,1566
1614,3055
1619,1569
1620,2022
1621,2315
1622,931
1622,1375
1628,1842
1628,1919
1628,1971
1629,1518
1630,1505
1636,2691
1637,1586
1637,2267
1638,1938
1639,786
1640,2900
1642,1924
1643,2042
1644,1274
1644,1318
1644,1334
1645,1478
1647,1923
1648,1005
1650,2165
1652,1996
1652,2175
1652,3042
1656,1117
1657,1333
1660,1028
1660,1097
1661,2071
1663,1185
1664,674
1664,1263
1669,1053
1669,1062
1669,1793
1669,2233
1670,2904
1672,1380
1672,1386
1674,1056
1676,1928
1677,1026
1677,1751
1679,1945
1680,1905
1683,660
1683,1531
1686,1052
1686,1538
1688,1077
1688,1994
1691,1035
1691,2708
1693,1149
1694,1030
1695,1140
1695,1184
1696,1254
1698,642
1698,1781
1701,1961
1703,1809
1703,2676
1704,1869
1705,1174
1706,765
1711,2960
1714,1437
1715,1665
1719,1553
1719,2705
1720,962
1722,2217
1723,3030
1725,1375
1725,1379
1727,680
1727,1239
1729,2832
1730,2800
1731,2796
1734,1258
1736,2038
1739,2679
1744,669
1745,2901
1749,639
1754,1488
1754,2976
1757,2629
1759,1257
1761,2732
1765,1624
1765,2731
1770,2021
1772,2926
1776,2658
1776,2686
1778,2250
1779,2222
1780,2740
1783,1393
1788,791
1790,1818
1790,2751
1800,1405
1804,896
1809,1354
1810,1257
1811,2162
1812,1305
1817,1260
1817,1275
1824,2178
1828,653
1828,2899
1830,1254
1830,1601
1832,1274
1839,1260
1842,1291
1844,451
1850,1283
1852,603
1853,919
1859,1278
1859,1476
1866,852
1870,2802
1871,1289
1875,1532
1876,712
1878,1266
1883,2681
1887,2887
1900,767
1901,2564
1904,889
1920,1518
1920,2386
1923,2381
1925,2524
1930,2507
1935,1247
1945,2902
1948,1661
1951,1332
1951,2908
1956,2803
1963,2887
1972,2142
1980,2153
1981,1817
1996,2511
1999,1421
2001,1543
2002,982
2002,2861
2003,2639
2004,2339
2006,2728
2008,2602
2009,1521
2011,2850
2014,1165
2018,2354
2019,2697
2021,2637
2025,790
2026,1515
2027,1025
2027,1152
2029,1442
2037,1062
2038,2514
2044,1649
2046,2556
2048,1072
2050,1165
2059,2295
2060,851
2060,2616
2068,2626
2071,2213
2074,1190
2074,2227
2074,2551
2077,2615
2079,1426
2079,2832
2081,2630
2085,1406
2086,892
2086,1114
2087,1393
2089,1368
2089,2130
2090,1297
2090,1423
2091,2742
2092,1407
2095,2637
2097,2740
2103,1124
2104,2673
2104,2677
2104,3049
2108,2566
2110,909
2110,1162
2111,1156
2115,998
2115,1610
2115,2198
2125,1648
2131,2920
2137,1808
2140,2775
2141,1543
2141,2749
2142,2780
2147,2928
2149,1982
2150,1996
2151,1245
2151,2203
2152,1531
2152,2218
2154,2109
2156,1998
2160,986
2160,1826
2160,2939
2164,2944
2166,779
2170,1219
2171,1117
2172,2956
2173,886
2173,1077
2174,891
2174,1024
2176,2899
2177,1953
2177,2284
2177,2290
2178,2498
2179,2246
2180,2050
2181,977
2184,1975
2184,2246
2184,2676
2185,985
2185,2250
2186,2218
2191,2515
2193,2224
2196,999
2196,1934
2197,3034
2204,2396
2208,2414
2208,2699
2209,2708
2210,2960
2213,2703
2214,2411
2215,1173
2216,1146
2216,2644
2217,2576
2219,2659
2219,2750
2224,2725
2226,2760
2232,2908
2243,2206
2244,2817
2251,2861
2251,2926
2255,1132
2260,2891
2266,1134
2266,2168
2323,1119
