y,x
0,1120
0,1811
0,1875
0,2156
0,2347
0,2680
24,1971
37,1117
55,1993
64,1093
65,1891
66,1997
66,3105
68,1100
69,3062
74,2001
84,2985
86,2983
112,1124
121,1171
132,1264
164,1222
178,2991
179,3042
180,3003
193,1767
211,2890
222,2784
222,2933
229,2552
235,2502
255,2944
261,1434
263,2943
270,2367
274,2398
275,2456
276,1655
276,2497
284,2734
287,2739
292,2905
297,2507
320,2498
326,2715
327,2688
330,2876
332,2870
335,2508
339,2500
340,2490
341,2563
341,2745
352,2509
353,2702
356,3104
362,3105
366,2847
368,3038
374,3055
378,2716
381,2204
381,2550
383,1043
384,1677
389,1025
396,1789
397,3022
398,1072
407,2674
413,1423
413,2675
415,1537
423,3105
431,3021
440,3082
444,3104
463,1370
464,1212
466,2845
470,806
485,3105
489,2688
497,2596
498,1428
500,3104
505,2580
508,720
509,816
523,1155
525,2770
531,2748
536,797
540,2632
541,714
548,1634
557,2934
561,1154
562,1345
562,2638
566,634
566,768
566,2562
568,1444
570,763
572,2628
572,3042
575,1447
582,767
586,1581
594,606
597,1153
599,1400
607,1149
618,678
627,2765
628,1357
634,1190
656,2811
660,2441
668,2317
670,2965
672,664
674,1235
686,1143
691,1228
698,2647
700,1097
700,2532
701,2348
702,726
703,2343
713,673
715,2289
719,2332
720,698
726,807
726,2390
740,2529
741,1174
741,2100
744,2520
746,2724
747,2305
748,2294
751,2270
751,2531
752,2275
764,2095
766,978
767,2212
769,2190
770,2654
772,2487
773,996
775,1213
783,1152
783,2745
787,2153
805,895
808,931
809,2016
811,1296
816,2447
826,1316
830,2106
833,1341
841,1313
848,2011
858,1663
868,1142
869,1125
881,1202
882,894
885,2769
892,1300
898,2468
901,2357
902,1015
902,1057
909,2267
912,1203
912,1208
925,2711
928,2180
934,1214
934,2467
936,1080
937,2480
941,2174
944,1218
945,1080
953,1124
962,2103
964,780
970,1079
972,1221
976,1557
977,1211
979,1064
980,2189
981,790
983,985
984,1175
987,1077
994,1224
1000,1009
1000,1636
1016,924
1016,1024
1016,1150
1016,1209
1020,1198
1023,1055
1023,1132
1023,1227
1026,2053
1030,1037
1032,989
1036,1231
1039,1236
1040,1219
1042,989
1042,1137
1043,948
1045,1125
1048,1130
1049,1224
1055,925
1055,1148
1057,907
1058,1159
1060,1262
1061,1137
1063,933
1064,1188
1071,1175
1072,1240
1089,835
1094,2035
1098,1165
1098,1172
1103,1278
1106,1179
1111,1194
1112,878
1122,876
1124,1986
1126,1250
1128,1299
1129,868
1130,1240
1135,1274
1152,1262
1154,1217
1161,1219
1162,824
1166,834
1167,1219
1170,1271
1179,1218
1184,843
1189,1231
1196,1209
1242,1224
1278,1187
1341,819
1351,1811
1359,2099
1364,1820
1375,786
1376,845
1376,1211
1392,952
1399,897
1400,1932
1404,2440
1409,2443
1410,1061
1411,1053
1411,1078
1430,971
1438,2117
1452,1094
1460,1807
1461,1116
1463,1795
1474,2437
1478,2094
1483,1726
1483,2415
1486,1867
1492,2417
1492,2489
1497,2123
1499,1613
1505,2350
1508,1681
1508,1723
1510,2250
1511,2609
1513,1644
1513,2434
1516,1829
1519,2241
1521,1646
1521,2345
1523,2357
1527,1819
1530,1547
1532,2876
1537,2143
1537,2384
1537,2390
1538,1546
1543,2448
1544,2719
1545,1833
1548,2393
1549,2513
1550,2074
1552,2003
1554,2835
1555,2760
1560,1582
1561,2528
1562,913
1565,1541
1567,1546
1567,1927
1568,913
1570,911
1570,1551
1570,1729
1570,1792
1570,1908
1572,2146
1576,2845
1577,1591
1577,2109
1577,2155
1582,2503
1585,1299
1588,1559
1589,1286
1593,713
1594,1959
1597,2008
1599,1837
1600,711
1602,1496
1604,1931
1605,2337
1606,1619
1607,1514
1610,2271
1611,1629
1611,1643
1615,1536
1616,1914
1617,1585
1619,2668
1620,1613
1622,1476
1623,1343
1624,1100
1626,2060
1628,1275
1632,962
1634,1676
1635,2308
1636,1898
1639,1935
1639,2687
1640,1722
1641,1895
1643,2229
1644,2978
