y,x
0,1943
0,2137
0,2339
0,2690
31,1853
50,1095
58,1983
64,1202
77,1936
96,1946
99,2854
109,1138
110,2831
112,1306
117,2844
143,1255
148,2451
150,2796
167,2808
182,2654
189,2675
197,2507
198,2881
203,1760
205,2836
211,2536
212,2318
221,2560
222,2498
227,1097
231,938
231,1476
232,2747
239,2406
240,2411
244,2749
245,950
248,1048
249,2933
250,1054
250,2747
253,1050
256,2692
262,2495
263,2393
268,2365
271,2437
271,2892
275,2363
276,2358
280,1055
281,2450
288,2737
292,2735
296,2956
299,2613
300,2700
309,2634
311,2841
311,2866
318,2528
320,2716
322,2486
328,2518
328,2524
330,2511
331,2599
332,2765
335,2512
343,2503
345,2567
347,2835
347,3105
350,2688
352,1782
352,2561
353,2631
354,3104
355,2220
356,2718
356,3100
362,2697
369,1004
372,959
376,1007
376,2547
379,931
379,3032
380,2548
381,1797
383,1550
390,1026
391,2599
393,552
396,1745
398,1421
414,2664
419,2879
426,3103
429,2602
434,3075
437,2899
438,3027
440,2997
441,2993
450,801
450,1363
455,1624
456,2843
461,2166
465,2937
482,1535
482,2676
482,3105
484,2732
486,548
492,1541
504,2736
504,3104
506,550
506,816
507,1424
512,2772
519,2754
528,2622
543,2166
546,2641
549,777
554,2546
554,2632
557,2525
557,2628
559,1339
559,1444
560,2227
564,525
566,1162
570,1153
577,2154
578,2202
578,2522
578,2568
584,2153
585,3105
590,516
591,1150
592,2503
595,1152
597,517
597,1466
601,2037
603,1386
603,2485
604,520
604,1571
605,1147
609,2194
613,502
613,2280
614,484
614,496
614,554
616,2326
622,509
623,1210
625,1151
626,468
626,2374
628,2040
628,2462
628,2755
629,2122
631,1342
631,2934
636,552
643,526
644,1145
645,2440
647,663
651,1153
659,1137
661,2830
664,2030
664,2068
667,2919
669,2771
669,2928
670,794
673,801
678,2936
680,852
680,2476
681,2472
681,2975
683,2634
684,532
690,2557
691,2552
693,666
696,2339
698,761
699,1096
699,2642
702,1067
710,1150
712,2396
715,820
718,2543
727,2438
731,1293
732,2357
736,2342
736,2361
739,2351
742,1157
742,2044
743,2261
744,2257
748,2719
749,2061
749,2519
753,2533
758,960
759,946
759,2076
764,2646
768,1012
773,2182
775,1147
775,1214
781,898
781,2484
786,2146
790,2754
797,2146
798,939
798,2108
809,1146
809,1280
809,1300
814,1149
816,1329
825,1296
832,1838
833,2869
835,1782
843,1277
843,2393
844,1703
859,2054
866,1934
868,889
873,1556
877,1283
879,1202
887,1897
893,1204
895,2497
898,2712
902,1039
902,2514
903,1087
903,1199
905,1163
911,1148
912,1164
912,3105
913,2793
915,2270
918,2710
923,2705
925,1163
925,2497
926,2512
927,2635
928,2685
929,2672
932,1214
933,2696
936,2732
938,2474
942,1127
942,1217
942,2482
943,1070
944,1064
944,2185
944,2654
945,1057
953,1193
958,3054
959,1562
963,1219
966,783
973,2103
973,2747
977,2186
979,1053
980,1487
981,2188
987,1065
987,1606
992,3091
995,2740
1011,798
1012,1204
1014,907
1019,961
1020,971
1020,1125
1022,1046
1026,955
1028,2059
1036,1215
1038,976
1041,1117
1042,3041
1043,1168
1044,1222
1046,928
1052,925
1052,1154
1052,1265
1053,1173
1057,1132
1061,1187
1065,917
1067,1917
1068,894
1069,1166
1070,1195
1071,920
1071,1202
1074,1310
1078,1288
1079,677
1082,1170
1090,1160
1091,778
1091,783
1095,1178
1097,888
1101,894
1102,1180
1102,1900
1108,1184
1109,1868
1111,1188
1111,1194
1111,2776
1114,884
1115,2046
1118,872
1120,1189
1121,1249
1126,1280
1127,871
1131,858
1131,1240
1132,2792
1133,869
1137,1988
1139,1262
1143,2606
1145,1182
1155,1207
1157,862
1159,2574
1161,831
1164,828
1166,859
1166,1953
1168,865
1170,1979
1174,823
1176,2816
1177,1219
1179,1225
1181,862
1182,770
1183,2780
1194,838
1199,852
1202,840
1205,1961
1213,862
1217,834
1222,837
1223,1265
1230,1205
1240,2574
1251,1198
1332,2817
1352,1803
1355,867
1362,829
1371,2080
1372,1813
1376,887
1380,777
1381,2376
1382,1211
1389,843
1390,1907
1391,1982
1394,1971
1403,2785
1405,1048
1409,896
1409,2540
1413,1901
1415,1029
1418,1071
1419,889
1420,2143
1420,2414
1423,2830
1435,970
1435,2808
1437,1083
1437,2505
1443,1088
1445,2470
1449,1179
1455,2404
1463,1114
1465,2385
1466,1801
1475,797
1477,2493
1481,1778
1486,2102
1487,1797
1492,2503
1497,2428
1501,1863
1501,1883
1502,2928
1505,2432
1507,1721
1507,2203
1511,1535
1511,2153
1511,2185
1511,2627
1512,1606
1515,1827
1520,2087
1521,905
1523,1824
1523,2511
1525,1638
1525,1690
1526,901
1526,2265
1527,2912
1529,2255
1531,1723
1532,903
1532,1641
1532,2211
1536,1933
1543,1543
1543,2858
1544,2328
1545,2538
1545,2852
1549,1621
1552,2472
1554,1542
1556,2397
1557,2450
1561,2299
1561,2353
1561,2534
1561,2745
1569,2047
1570,2141
1572,2101
1573,2554
1574,1580
1575,2277
1576,2540
1578,2138
1578,2880
1579,2745
1584,2506
1585,1647
1589,1597
1590,1592
1590,1715
1591,1719
1596,1914
1597,1738
1597,1795
1598,2121
1601,2006
1601,2540
1602,1913
1606,814
1607,1370
1610,2845
1616,2021
1616,2317
1619,1569
1621,1375
1626,1842
1626,2690
1628,1505
1628,1884
1629,1514
1630,1933
1630,2273
1631,1623
1633,2897
1636,1641
1637,1632
1639,2041
1641,1923
1642,1274
1642,2097
1643,1333
1643,1613
1644,1318
1645,1478
1646,1995
1650,2164
1651,2168
1652,2954
1653,2070
