y,x
0,1943
0,2133
0,2335
0,2684
36,1847
51,1987
62,1212
73,1934
94,1947
114,1320
119,1137
137,2816
143,1268
180,1009
193,2505
202,1759
210,2518
231,1100
232,954
239,958
241,1487
244,2362
247,2381
249,1054
249,2687
252,2749
253,2928
258,2679
264,2376
266,2366
273,2352
276,1048
283,2473
289,2955
293,2765
305,2527
307,2469
310,2533
315,2766
318,2484
319,2526
320,2519
328,2616
341,2722
341,3105
347,3103
348,2568
351,3097
353,1784
354,2514
354,2547
355,2220
362,2688
365,3044
367,3032
369,987
369,2668
370,1013
374,995
375,2556
375,3032
378,932
379,1548
381,1796
382,922
388,1025
392,1419
393,2801
394,1744
395,553
395,1540
396,1072
400,2828
413,853
421,2606
424,2611
424,3059
424,3065
426,3104
429,1634
436,2999
436,3028
438,2988
439,2676
445,1360
447,803
447,1626
448,2853
449,2847
449,3091
451,2841
477,1532
478,2731
479,2533
481,554
484,1534
485,2570
488,2574
493,1406
500,818
503,3104
504,551
506,2773
512,2755
513,2561
520,2729
522,1156
522,2619
524,718
526,712
534,2650
537,2165
552,635
552,2617
554,1445
556,762
556,1338
558,2603
559,2058
561,637
561,2051
562,648
563,2154
564,2601
568,1162
571,2040
571,2202
573,605
574,525
575,2222
577,2152
584,518
584,1153
584,2542
586,784
588,2546
594,570
594,1470
594,2480
595,1154
596,1254
600,1255
601,1386
602,2192
603,514
604,661
604,1326
605,536
605,1148
607,655
612,1153
613,509
613,1635
615,2274
616,2326
617,2053
620,2091
621,2459
628,2755
629,2378
630,2374
633,2935
634,527
637,2965
640,2435
644,1146
645,562
646,2040
651,1154
656,2775
656,2779
657,1139
658,1479
659,852
661,1299
661,2073
663,1216
672,807
677,848
677,2966
678,2638
680,727
680,1203
681,528
683,2452
686,533
690,674
694,758
695,2642
699,1098
700,706
711,1031
712,819
716,2330
716,2542
719,2547
728,2382
732,2047
732,2356
736,2340
737,2360
739,2350
740,1153
745,2718
747,2244
747,2268
749,2521
751,2307
